geoName,Realtor,year
New York,28,2005-02-28
North Carolina,51,2005-02-28
North Dakota,0,2005-02-28
Ohio,49,2005-02-28
Oklahoma,55,2005-02-28
Oregon,22,2005-02-28
Pennsylvania,42,2005-02-28
Rhode Island,100,2005-02-28
South Carolina,37,2005-02-28
South Dakota,51,2005-02-28
Tennessee,52,2005-02-28
Texas,39,2005-02-28
Utah,0,2005-02-28
Vermont,30,2005-02-28
Virginia,42,2005-02-28
Washington,22,2005-02-28
West Virginia,76,2005-02-28
Wisconsin,47,2005-02-28
Wyoming,63,2005-02-28
Alabama,0,2005-03-31
Alaska,53,2005-03-31
Arizona,55,2005-03-31
Arkansas,0,2005-03-31
California,25,2005-03-31
Colorado,35,2005-03-31
Connecticut,58,2005-03-31
Delaware,34,2005-03-31
District of Columbia,27,2005-03-31
Florida,35,2005-03-31
Georgia,35,2005-03-31
Hawaii,32,2005-03-31
Idaho,23,2005-03-31
Illinois,26,2005-03-31
Indiana,28,2005-03-31
Iowa,10,2005-03-31
Kansas,25,2005-03-31
Kentucky,12,2005-03-31
Louisiana,35,2005-03-31
Maine,100,2005-03-31
Maryland,33,2005-03-31
Massachusetts,27,2005-03-31
Michigan,27,2005-03-31
Minnesota,26,2005-03-31
Mississippi,0,2005-03-31
Missouri,19,2005-03-31
Montana,0,2005-03-31
Nebraska,26,2005-03-31
Nevada,0,2005-03-31
New Hampshire,15,2005-03-31
New Jersey,52,2005-03-31
New Mexico,55,2005-03-31
New York,22,2005-03-31
North Carolina,31,2005-03-31
North Dakota,0,2005-03-31
Ohio,38,2005-03-31
Oklahoma,30,2005-03-31
Oregon,15,2005-03-31
Pennsylvania,31,2005-03-31
Rhode Island,46,2005-03-31
South Carolina,9,2005-03-31
South Dakota,36,2005-03-31
Tennessee,33,2005-03-31
Texas,34,2005-03-31
Utah,19,2005-03-31
Vermont,0,2005-03-31
Virginia,34,2005-03-31
Washington,12,2005-03-31
West Virginia,0,2005-03-31
Wisconsin,12,2005-03-31
Wyoming,46,2005-03-31
Alabama,10,2005-04-30
Alaska,28,2005-04-30
Arizona,28,2005-04-30
Arkansas,0,2005-04-30
California,28,2005-04-30
Colorado,25,2005-04-30
Connecticut,39,2005-04-30
Delaware,33,2005-04-30
District of Columbia,78,2005-04-30
Florida,50,2005-04-30
Georgia,18,2005-04-30
Hawaii,32,2005-04-30
Idaho,45,2005-04-30
Illinois,26,2005-04-30
Indiana,18,2005-04-30
Iowa,10,2005-04-30
Kansas,18,2005-04-30
Kentucky,40,2005-04-30
Louisiana,27,2005-04-30
Maine,16,2005-04-30
Maryland,30,2005-04-30
Massachusetts,20,2005-04-30
Michigan,41,2005-04-30
Minnesota,7,2005-04-30
Mississippi,0,2005-04-30
Missouri,46,2005-04-30
Montana,0,2005-04-30
Nebraska,0,2005-04-30
Nevada,0,2005-04-30
New Hampshire,0,2005-04-30
New Jersey,50,2005-04-30
New Mexico,19,2005-04-30
New York,20,2005-04-30
North Carolina,45,2005-04-30
North Dakota,0,2005-04-30
Ohio,27,2005-04-30
Oklahoma,42,2005-04-30
Oregon,29,2005-04-30
Pennsylvania,43,2005-04-30
Rhode Island,31,2005-04-30
South Carolina,49,2005-04-30
South Dakota,0,2005-04-30
Tennessee,41,2005-04-30
Texas,33,2005-04-30
Utah,0,2005-04-30
Vermont,23,2005-04-30
Virginia,37,2005-04-30
Washington,16,2005-04-30
West Virginia,0,2005-04-30
Wisconsin,32,2005-04-30
Wyoming,100,2005-04-30
Alabama,61,2005-05-31
Alaska,38,2005-05-31
Arizona,63,2005-05-31
Arkansas,28,2005-05-31
California,43,2005-05-31
Colorado,33,2005-05-31
Connecticut,62,2005-05-31
Delaware,46,2005-05-31
District of Columbia,57,2005-05-31
Florida,53,2005-05-31
Georgia,44,2005-05-31
Hawaii,22,2005-05-31
Idaho,0,2005-05-31
Illinois,63,2005-05-31
Indiana,26,2005-05-31
Iowa,15,2005-05-31
Kansas,0,2005-05-31
Kentucky,37,2005-05-31
Louisiana,38,2005-05-31
Maine,0,2005-05-31
Maryland,20,2005-05-31
Massachusetts,48,2005-05-31
Michigan,38,2005-05-31
Minnesota,47,2005-05-31
Mississippi,34,2005-05-31
Missouri,86,2005-05-31
Montana,49,2005-05-31
Nebraska,58,2005-05-31
Nevada,17,2005-05-31
New Hampshire,62,2005-05-31
New Jersey,55,2005-05-31
New Mexico,52,2005-05-31
New York,28,2005-05-31
North Carolina,26,2005-05-31
North Dakota,0,2005-05-31
Ohio,46,2005-05-31
Oklahoma,100,2005-05-31
Oregon,20,2005-05-31
Pennsylvania,32,2005-05-31
Rhode Island,68,2005-05-31
South Carolina,53,2005-05-31
South Dakota,0,2005-05-31
Tennessee,31,2005-05-31
Texas,66,2005-05-31
Utah,26,2005-05-31
Vermont,0,2005-05-31
Virginia,52,2005-05-31
Washington,29,2005-05-31
West Virginia,45,2005-05-31
Wisconsin,17,2005-05-31
Wyoming,73,2005-05-31
Alabama,13,2005-06-30
Alaska,0,2005-06-30
Arizona,61,2005-06-30
Arkansas,30,2005-06-30
California,39,2005-06-30
Colorado,41,2005-06-30
Connecticut,79,2005-06-30
Delaware,0,2005-06-30
District of Columbia,80,2005-06-30
Florida,73,2005-06-30
Georgia,43,2005-06-30
Hawaii,23,2005-06-30
Idaho,36,2005-06-30
Illinois,32,2005-06-30
Indiana,27,2005-06-30
Iowa,0,2005-06-30
Kansas,39,2005-06-30
Kentucky,78,2005-06-30
Louisiana,39,2005-06-30
Maine,57,2005-06-30
Maryland,32,2005-06-30
Massachusetts,31,2005-06-30
Michigan,63,2005-06-30
Minnesota,35,2005-06-30
Mississippi,100,2005-06-30
Missouri,48,2005-06-30
Montana,54,2005-06-30
Nebraska,42,2005-06-30
Nevada,36,2005-06-30
New Hampshire,44,2005-06-30
New Jersey,51,2005-06-30
New Mexico,27,2005-06-30
New York,48,2005-06-30
North Carolina,46,2005-06-30
North Dakota,0,2005-06-30
Ohio,39,2005-06-30
Oklahoma,30,2005-06-30
Oregon,44,2005-06-30
Pennsylvania,52,2005-06-30
Rhode Island,49,2005-06-30
South Carolina,42,2005-06-30
South Dakota,61,2005-06-30
Tennessee,33,2005-06-30
Texas,32,2005-06-30
Utah,56,2005-06-30
Vermont,37,2005-06-30
Virginia,57,2005-06-30
Washington,36,2005-06-30
West Virginia,0,2005-06-30
Wisconsin,43,2005-06-30
Wyoming,78,2005-06-30
Alabama,30,2005-07-31
Alaska,31,2005-07-31
Arizona,33,2005-07-31
Arkansas,21,2005-07-31
California,38,2005-07-31
Colorado,48,2005-07-31
Connecticut,33,2005-07-31
Delaware,0,2005-07-31
District of Columbia,34,2005-07-31
Florida,46,2005-07-31
Georgia,40,2005-07-31
Hawaii,53,2005-07-31
Idaho,79,2005-07-31
Illinois,52,2005-07-31
Indiana,0,2005-07-31
Iowa,12,2005-07-31
Kansas,39,2005-07-31
Kentucky,14,2005-07-31
Louisiana,31,2005-07-31
Maine,0,2005-07-31
Maryland,49,2005-07-31
Massachusetts,28,2005-07-31
Michigan,45,2005-07-31
Minnesota,22,2005-07-31
Mississippi,27,2005-07-31
Missouri,41,2005-07-31
Montana,0,2005-07-31
Nebraska,46,2005-07-31
Nevada,69,2005-07-31
New Hampshire,16,2005-07-31
New Jersey,61,2005-07-31
New Mexico,100,2005-07-31
New York,33,2005-07-31
North Carolina,48,2005-07-31
North Dakota,56,2005-07-31
Ohio,56,2005-07-31
Oklahoma,22,2005-07-31
Oregon,17,2005-07-31
Pennsylvania,51,2005-07-31
Rhode Island,19,2005-07-31
South Carolina,41,2005-07-31
South Dakota,0,2005-07-31
Tennessee,24,2005-07-31
Texas,31,2005-07-31
Utah,21,2005-07-31
Vermont,0,2005-07-31
Virginia,53,2005-07-31
Washington,25,2005-07-31
West Virginia,33,2005-07-31
Wisconsin,24,2005-07-31
Wyoming,0,2005-07-31
Alabama,32,2005-08-31
Alaska,0,2005-08-31
Arizona,54,2005-08-31
Arkansas,20,2005-08-31
California,34,2005-08-31
Colorado,41,2005-08-31
Connecticut,48,2005-08-31
Delaware,77,2005-08-31
District of Columbia,52,2005-08-31
Florida,64,2005-08-31
Georgia,30,2005-08-31
Hawaii,19,2005-08-31
Idaho,0,2005-08-31
Illinois,59,2005-08-31
Indiana,7,2005-08-31
Iowa,48,2005-08-31
Kansas,21,2005-08-31
Kentucky,43,2005-08-31
Louisiana,100,2005-08-31
Maine,20,2005-08-31
Maryland,40,2005-08-31
Massachusetts,20,2005-08-31
Michigan,33,2005-08-31
Minnesota,28,2005-08-31
Mississippi,0,2005-08-31
Missouri,30,2005-08-31
Montana,38,2005-08-31
Nebraska,0,2005-08-31
Nevada,75,2005-08-31
New Hampshire,34,2005-08-31
New Jersey,60,2005-08-31
New Mexico,0,2005-08-31
New York,19,2005-08-31
North Carolina,46,2005-08-31
North Dakota,0,2005-08-31
Ohio,44,2005-08-31
Oklahoma,47,2005-08-31
Oregon,31,2005-08-31
Pennsylvania,38,2005-08-31
Rhode Island,19,2005-08-31
South Carolina,43,2005-08-31
South Dakota,0,2005-08-31
Tennessee,82,2005-08-31
Texas,26,2005-08-31
Utah,54,2005-08-31
Vermont,29,2005-08-31
Virginia,45,2005-08-31
Washington,37,2005-08-31
West Virginia,0,2005-08-31
Wisconsin,20,2005-08-31
Wyoming,59,2005-08-31
Alabama,37,2005-09-30
Alaska,28,2005-09-30
Arizona,51,2005-09-30
Arkansas,35,2005-09-30
California,28,2005-09-30
Colorado,20,2005-09-30
Connecticut,40,2005-09-30
Delaware,64,2005-09-30
District of Columbia,58,2005-09-30
Florida,64,2005-09-30
Georgia,20,2005-09-30
Hawaii,31,2005-09-30
Idaho,65,2005-09-30
Illinois,26,2005-09-30
Indiana,11,2005-09-30
Iowa,0,2005-09-30
Kansas,28,2005-09-30
Kentucky,52,2005-09-30
Louisiana,22,2005-09-30
Maine,0,2005-09-30
Maryland,41,2005-09-30
Massachusetts,21,2005-09-30
Michigan,22,2005-09-30
Minnesota,27,2005-09-30
Mississippi,0,2005-09-30
Missouri,45,2005-09-30
Montana,32,2005-09-30
Nebraska,0,2005-09-30
Nevada,26,2005-09-30
New Hampshire,14,2005-09-30
New Jersey,40,2005-09-30
New Mexico,36,2005-09-30
New York,20,2005-09-30
North Carolina,46,2005-09-30
North Dakota,0,2005-09-30
Ohio,31,2005-09-30
Oklahoma,51,2005-09-30
Oregon,15,2005-09-30
Pennsylvania,35,2005-09-30
Rhode Island,15,2005-09-30
South Carolina,37,2005-09-30
South Dakota,77,2005-09-30
Tennessee,34,2005-09-30
Texas,32,2005-09-30
Utah,36,2005-09-30
Vermont,24,2005-09-30
Virginia,35,2005-09-30
Washington,12,2005-09-30
West Virginia,29,2005-09-30
Wisconsin,0,2005-09-30
Wyoming,100,2005-09-30
Alabama,42,2005-10-31
Alaska,0,2005-10-31
Arizona,22,2005-10-31
Arkansas,20,2005-10-31
California,24,2005-10-31
Colorado,32,2005-10-31
Connecticut,7,2005-10-31
Delaware,38,2005-10-31
District of Columbia,57,2005-10-31
Florida,58,2005-10-31
Georgia,37,2005-10-31
Hawaii,18,2005-10-31
Idaho,24,2005-10-31
Illinois,41,2005-10-31
Indiana,6,2005-10-31
Iowa,12,2005-10-31
Kansas,0,2005-10-31
Kentucky,0,2005-10-31
Louisiana,24,2005-10-31
Maine,20,2005-10-31
Maryland,47,2005-10-31
Massachusetts,24,2005-10-31
Michigan,12,2005-10-31
Minnesota,26,2005-10-31
Mississippi,53,2005-10-31
Missouri,25,2005-10-31
Montana,35,2005-10-31
Nebraska,15,2005-10-31
Nevada,57,2005-10-31
New Hampshire,16,2005-10-31
New Jersey,32,2005-10-31
New Mexico,41,2005-10-31
New York,23,2005-10-31
North Carolina,52,2005-10-31
North Dakota,100,2005-10-31
Ohio,24,2005-10-31
Oklahoma,23,2005-10-31
Oregon,11,2005-10-31
Pennsylvania,47,2005-10-31
Rhode Island,18,2005-10-31
South Carolina,42,2005-10-31
South Dakota,0,2005-10-31
Tennessee,49,2005-10-31
Texas,32,2005-10-31
Utah,73,2005-10-31
Vermont,84,2005-10-31
Virginia,38,2005-10-31
Washington,14,2005-10-31
West Virginia,0,2005-10-31
Wisconsin,23,2005-10-31
Wyoming,0,2005-10-31
Alabama,29,2005-11-30
Alaska,0,2005-11-30
Arizona,44,2005-11-30
Arkansas,56,2005-11-30
California,24,2005-11-30
Colorado,16,2005-11-30
Connecticut,47,2005-11-30
Delaware,36,2005-11-30
District of Columbia,33,2005-11-30
Florida,50,2005-11-30
Georgia,20,2005-11-30
Hawaii,33,2005-11-30
Idaho,44,2005-11-30
Illinois,23,2005-11-30
Indiana,12,2005-11-30
Iowa,11,2005-11-30
Kansas,19,2005-11-30
Kentucky,14,2005-11-30
Louisiana,31,2005-11-30
Maine,18,2005-11-30
Maryland,27,2005-11-30
Massachusetts,24,2005-11-30
Michigan,39,2005-11-30
Minnesota,47,2005-11-30
Mississippi,0,2005-11-30
Missouri,34,2005-11-30
Montana,0,2005-11-30
Nebraska,14,2005-11-30
Nevada,100,2005-11-30
New Hampshire,15,2005-11-30
New Jersey,26,2005-11-30
New Mexico,0,2005-11-30
New York,19,2005-11-30
North Carolina,44,2005-11-30
North Dakota,0,2005-11-30
Ohio,30,2005-11-30
Oklahoma,31,2005-11-30
Oregon,41,2005-11-30
Pennsylvania,34,2005-11-30
Rhode Island,16,2005-11-30
South Carolina,30,2005-11-30
South Dakota,0,2005-11-30
Tennessee,29,2005-11-30
Texas,36,2005-11-30
Utah,38,2005-11-30
Vermont,0,2005-11-30
Virginia,46,2005-11-30
Washington,18,2005-11-30
West Virginia,30,2005-11-30
Wisconsin,33,2005-11-30
Wyoming,49,2005-11-30
Alabama,76,2005-12-31
Alaska,27,2005-12-31
Arizona,62,2005-12-31
Arkansas,70,2005-12-31
California,27,2005-12-31
Colorado,49,2005-12-31
Connecticut,51,2005-12-31
Delaware,73,2005-12-31
District of Columbia,60,2005-12-31
Florida,80,2005-12-31
Georgia,33,2005-12-31
Hawaii,32,2005-12-31
Idaho,63,2005-12-31
Illinois,44,2005-12-31
Indiana,23,2005-12-31
Iowa,22,2005-12-31
Kansas,94,2005-12-31
Kentucky,26,2005-12-31
Louisiana,20,2005-12-31
Maine,35,2005-12-31
Maryland,32,2005-12-31
Massachusetts,27,2005-12-31
Michigan,30,2005-12-31
Minnesota,47,2005-12-31
Mississippi,46,2005-12-31
Missouri,57,2005-12-31
Montana,0,2005-12-31
Nebraska,14,2005-12-31
Nevada,76,2005-12-31
New Hampshire,44,2005-12-31
New Jersey,61,2005-12-31
New Mexico,19,2005-12-31
New York,28,2005-12-31
North Carolina,52,2005-12-31
North Dakota,0,2005-12-31
Ohio,26,2005-12-31
Oklahoma,52,2005-12-31
Oregon,20,2005-12-31
Pennsylvania,53,2005-12-31
Rhode Island,48,2005-12-31
South Carolina,57,2005-12-31
South Dakota,0,2005-12-31
Tennessee,39,2005-12-31
Texas,44,2005-12-31
Utah,37,2005-12-31
Vermont,25,2005-12-31
Virginia,39,2005-12-31
Washington,10,2005-12-31
West Virginia,0,2005-12-31
Wisconsin,46,2005-12-31
Wyoming,100,2005-12-31
Alabama,6,2006-01-31
Alaska,18,2006-01-31
Arizona,20,2006-01-31
Arkansas,100,2006-01-31
California,19,2006-01-31
Colorado,34,2006-01-31
Connecticut,49,2006-01-31
Delaware,23,2006-01-31
District of Columbia,46,2006-01-31
Florida,54,2006-01-31
Georgia,36,2006-01-31
Hawaii,21,2006-01-31
Idaho,14,2006-01-31
Illinois,28,2006-01-31
Indiana,4,2006-01-31
Iowa,26,2006-01-31
Kansas,30,2006-01-31
Kentucky,24,2006-01-31
Louisiana,19,2006-01-31
Maine,0,2006-01-31
Maryland,35,2006-01-31
Massachusetts,14,2006-01-31
Michigan,20,2006-01-31
Minnesota,28,2006-01-31
Mississippi,28,2006-01-31
Missouri,34,2006-01-31
Montana,20,2006-01-31
Nebraska,0,2006-01-31
Nevada,41,2006-01-31
New Hampshire,10,2006-01-31
New Jersey,49,2006-01-31
New Mexico,35,2006-01-31
New York,18,2006-01-31
North Carolina,23,2006-01-31
North Dakota,28,2006-01-31
Ohio,25,2006-01-31
Oklahoma,20,2006-01-31
Oregon,20,2006-01-31
Pennsylvania,30,2006-01-31
Rhode Island,10,2006-01-31
South Carolina,35,2006-01-31
South Dakota,0,2006-01-31
Tennessee,49,2006-01-31
Texas,29,2006-01-31
Utah,18,2006-01-31
Vermont,0,2006-01-31
Virginia,43,2006-01-31
Washington,19,2006-01-31
West Virginia,0,2006-01-31
Wisconsin,21,2006-01-31
Wyoming,32,2006-01-31
Alabama,33,2006-02-28
Alaska,0,2006-02-28
Arizona,50,2006-02-28
Arkansas,77,2006-02-28
California,34,2006-02-28
Colorado,59,2006-02-28
Connecticut,40,2006-02-28
Delaware,91,2006-02-28
District of Columbia,40,2006-02-28
Florida,100,2006-02-28
Georgia,31,2006-02-28
Hawaii,40,2006-02-28
Idaho,55,2006-02-28
Illinois,42,2006-02-28
Indiana,30,2006-02-28
Iowa,53,2006-02-28
Kansas,57,2006-02-28
Kentucky,33,2006-02-28
Louisiana,34,2006-02-28
Maine,30,2006-02-28
Maryland,43,2006-02-28
Massachusetts,19,2006-02-28
Michigan,38,2006-02-28
Minnesota,34,2006-02-28
Mississippi,60,2006-02-28
Missouri,46,2006-02-28
Montana,0,2006-02-28
Nebraska,11,2006-02-28
Nevada,84,2006-02-28
New Hampshire,13,2006-02-28
New Jersey,65,2006-02-28
New Mexico,63,2006-02-28
New York,24,2006-02-28
North Carolina,43,2006-02-28
North Dakota,0,2006-02-28
Ohio,67,2006-02-28
Oklahoma,45,2006-02-28
Oregon,39,2006-02-28
Pennsylvania,40,2006-02-28
Rhode Island,41,2006-02-28
South Carolina,56,2006-02-28
South Dakota,0,2006-02-28
Tennessee,34,2006-02-28
Texas,49,2006-02-28
Utah,61,2006-02-28
Vermont,43,2006-02-28
Virginia,36,2006-02-28
Washington,22,2006-02-28
West Virginia,0,2006-02-28
Wisconsin,58,2006-02-28
Wyoming,88,2006-02-28
Alabama,55,2006-03-31
Alaska,0,2006-03-31
Arizona,39,2006-03-31
Arkansas,60,2006-03-31
California,49,2006-03-31
Colorado,60,2006-03-31
Connecticut,94,2006-03-31
Delaware,40,2006-03-31
District of Columbia,92,2006-03-31
Florida,86,2006-03-31
Georgia,65,2006-03-31
Hawaii,0,2006-03-31
Idaho,25,2006-03-31
Illinois,72,2006-03-31
Indiana,48,2006-03-31
Iowa,24,2006-03-31
Kansas,54,2006-03-31
Kentucky,31,2006-03-31
Louisiana,46,2006-03-31
Maine,40,2006-03-31
Maryland,91,2006-03-31
Massachusetts,44,2006-03-31
Michigan,45,2006-03-31
Minnesota,86,2006-03-31
Mississippi,79,2006-03-31
Missouri,57,2006-03-31
Montana,38,2006-03-31
Nebraska,62,2006-03-31
Nevada,28,2006-03-31
New Hampshire,36,2006-03-31
New Jersey,75,2006-03-31
New Mexico,41,2006-03-31
New York,38,2006-03-31
North Carolina,100,2006-03-31
North Dakota,52,2006-03-31
Ohio,50,2006-03-31
Oklahoma,23,2006-03-31
Oregon,42,2006-03-31
Pennsylvania,80,2006-03-31
Rhode Island,37,2006-03-31
South Carolina,88,2006-03-31
South Dakota,45,2006-03-31
Tennessee,32,2006-03-31
Texas,51,2006-03-31
Utah,32,2006-03-31
Vermont,59,2006-03-31
Virginia,67,2006-03-31
Washington,24,2006-03-31
West Virginia,34,2006-03-31
Wisconsin,72,2006-03-31
Wyoming,60,2006-03-31
Alabama,68,2006-04-30
Alaska,89,2006-04-30
Arizona,65,2006-04-30
Arkansas,18,2006-04-30
California,52,2006-04-30
Colorado,41,2006-04-30
Connecticut,85,2006-04-30
Delaware,0,2006-04-30
District of Columbia,41,2006-04-30
Florida,67,2006-04-30
Georgia,42,2006-04-30
Hawaii,76,2006-04-30
Idaho,22,2006-04-30
Illinois,62,2006-04-30
Indiana,30,2006-04-30
Iowa,11,2006-04-30
Kansas,76,2006-04-30
Kentucky,46,2006-04-30
Louisiana,49,2006-04-30
Maine,17,2006-04-30
Maryland,63,2006-04-30
Massachusetts,38,2006-04-30
Michigan,55,2006-04-30
Minnesota,24,2006-04-30
Mississippi,95,2006-04-30
Missouri,66,2006-04-30
Montana,36,2006-04-30
Nebraska,28,2006-04-30
Nevada,12,2006-04-30
New Hampshire,0,2006-04-30
New Jersey,48,2006-04-30
New Mexico,19,2006-04-30
New York,45,2006-04-30
North Carolina,46,2006-04-30
North Dakota,100,2006-04-30
Ohio,47,2006-04-30
Oklahoma,53,2006-04-30
Oregon,24,2006-04-30
Pennsylvania,56,2006-04-30
Rhode Island,80,2006-04-30
South Carolina,69,2006-04-30
South Dakota,0,2006-04-30
Tennessee,52,2006-04-30
Texas,59,2006-04-30
Utah,39,2006-04-30
Vermont,52,2006-04-30
Virginia,70,2006-04-30
Washington,40,2006-04-30
West Virginia,30,2006-04-30
Wisconsin,46,2006-04-30
Wyoming,53,2006-04-30
Alabama,38,2006-05-31
Alaska,48,2006-05-31
Arizona,49,2006-05-31
Arkansas,0,2006-05-31
California,35,2006-05-31
Colorado,39,2006-05-31
Connecticut,32,2006-05-31
Delaware,28,2006-05-31
District of Columbia,44,2006-05-31
Florida,67,2006-05-31
Georgia,39,2006-05-31
Hawaii,49,2006-05-31
Idaho,73,2006-05-31
Illinois,38,2006-05-31
Indiana,16,2006-05-31
Iowa,19,2006-05-31
Kansas,39,2006-05-31
Kentucky,33,2006-05-31
Louisiana,54,2006-05-31
Maine,28,2006-05-31
Maryland,35,2006-05-31
Massachusetts,26,2006-05-31
Michigan,54,2006-05-31
Minnesota,13,2006-05-31
Mississippi,20,2006-05-31
Missouri,28,2006-05-31
Montana,0,2006-05-31
Nebraska,0,2006-05-31
Nevada,28,2006-05-31
New Hampshire,24,2006-05-31
New Jersey,48,2006-05-31
New Mexico,75,2006-05-31
New York,24,2006-05-31
North Carolina,44,2006-05-31
North Dakota,42,2006-05-31
Ohio,45,2006-05-31
Oklahoma,25,2006-05-31
Oregon,16,2006-05-31
Pennsylvania,53,2006-05-31
Rhode Island,40,2006-05-31
South Carolina,24,2006-05-31
South Dakota,0,2006-05-31
Tennessee,55,2006-05-31
Texas,57,2006-05-31
Utah,8,2006-05-31
Vermont,21,2006-05-31
Virginia,45,2006-05-31
Washington,27,2006-05-31
West Virginia,100,2006-05-31
Wisconsin,32,2006-05-31
Wyoming,46,2006-05-31
Alabama,16,2006-06-30
Alaska,51,2006-06-30
Arizona,59,2006-06-30
Arkansas,78,2006-06-30
California,37,2006-06-30
Colorado,56,2006-06-30
Connecticut,69,2006-06-30
Delaware,64,2006-06-30
District of Columbia,51,2006-06-30
Florida,66,2006-06-30
Georgia,52,2006-06-30
Hawaii,39,2006-06-30
Idaho,100,2006-06-30
Illinois,48,2006-06-30
Indiana,30,2006-06-30
Iowa,53,2006-06-30
Kansas,17,2006-06-30
Kentucky,35,2006-06-30
Louisiana,34,2006-06-30
Maine,16,2006-06-30
Maryland,60,2006-06-30
Massachusetts,37,2006-06-30
Michigan,48,2006-06-30
Minnesota,50,2006-06-30
Mississippi,0,2006-06-30
Missouri,48,2006-06-30
Montana,63,2006-06-30
Nebraska,38,2006-06-30
Nevada,50,2006-06-30
New Hampshire,56,2006-06-30
New Jersey,67,2006-06-30
New Mexico,50,2006-06-30
New York,29,2006-06-30
North Carolina,60,2006-06-30
North Dakota,48,2006-06-30
Ohio,39,2006-06-30
Oklahoma,46,2006-06-30
Oregon,27,2006-06-30
Pennsylvania,58,2006-06-30
Rhode Island,15,2006-06-30
South Carolina,34,2006-06-30
South Dakota,0,2006-06-30
Tennessee,55,2006-06-30
Texas,43,2006-06-30
Utah,9,2006-06-30
Vermont,24,2006-06-30
Virginia,56,2006-06-30
Washington,42,2006-06-30
West Virginia,0,2006-06-30
Wisconsin,27,2006-06-30
Wyoming,0,2006-06-30
Alabama,59,2006-07-31
Alaska,24,2006-07-31
Arizona,47,2006-07-31
Arkansas,14,2006-07-31
California,34,2006-07-31
Colorado,35,2006-07-31
Connecticut,77,2006-07-31
Delaware,31,2006-07-31
District of Columbia,68,2006-07-31
Florida,74,2006-07-31
Georgia,35,2006-07-31
Hawaii,24,2006-07-31
Idaho,54,2006-07-31
Illinois,43,2006-07-31
Indiana,31,2006-07-31
Iowa,28,2006-07-31
Kansas,54,2006-07-31
Kentucky,68,2006-07-31
Louisiana,62,2006-07-31
Maine,74,2006-07-31
Maryland,46,2006-07-31
Massachusetts,41,2006-07-31
Michigan,55,2006-07-31
Minnesota,49,2006-07-31
Mississippi,36,2006-07-31
Missouri,80,2006-07-31
Montana,0,2006-07-31
Nebraska,23,2006-07-31
Nevada,56,2006-07-31
New Hampshire,13,2006-07-31
New Jersey,62,2006-07-31
New Mexico,15,2006-07-31
New York,34,2006-07-31
North Carolina,34,2006-07-31
North Dakota,42,2006-07-31
Ohio,46,2006-07-31
Oklahoma,32,2006-07-31
Oregon,46,2006-07-31
Pennsylvania,58,2006-07-31
Rhode Island,100,2006-07-31
South Carolina,37,2006-07-31
South Dakota,33,2006-07-31
Tennessee,49,2006-07-31
Texas,48,2006-07-31
Utah,0,2006-07-31
Vermont,22,2006-07-31
Virginia,54,2006-07-31
Washington,31,2006-07-31
West Virginia,100,2006-07-31
Wisconsin,47,2006-07-31
Wyoming,46,2006-07-31
