geoName,Apartment,year
Minnesota,30,2005-02-28
Mississippi,24,2005-02-28
Missouri,45,2005-02-28
Montana,0,2005-02-28
Nebraska,26,2005-02-28
Nevada,53,2005-02-28
New Hampshire,30,2005-02-28
New Jersey,28,2005-02-28
New Mexico,19,2005-02-28
New York,60,2005-02-28
North Carolina,39,2005-02-28
North Dakota,0,2005-02-28
Ohio,35,2005-02-28
Oklahoma,62,2005-02-28
Oregon,27,2005-02-28
Pennsylvania,52,2005-02-28
Rhode Island,15,2005-02-28
South Carolina,37,2005-02-28
South Dakota,0,2005-02-28
Tennessee,28,2005-02-28
Texas,68,2005-02-28
Utah,28,2005-02-28
Vermont,23,2005-02-28
Virginia,66,2005-02-28
Washington,50,2005-02-28
West Virginia,0,2005-02-28
Wisconsin,40,2005-02-28
Wyoming,0,2005-02-28
Alabama,28,2005-03-31
Alaska,41,2005-03-31
Arizona,91,2005-03-31
Arkansas,29,2005-03-31
California,61,2005-03-31
Colorado,49,2005-03-31
Connecticut,72,2005-03-31
Delaware,0,2005-03-31
District of Columbia,42,2005-03-31
Florida,71,2005-03-31
Georgia,76,2005-03-31
Hawaii,100,2005-03-31
Idaho,35,2005-03-31
Illinois,85,2005-03-31
Indiana,52,2005-03-31
Iowa,60,2005-03-31
Kansas,66,2005-03-31
Kentucky,59,2005-03-31
Louisiana,83,2005-03-31
Maine,0,2005-03-31
Maryland,75,2005-03-31
Massachusetts,84,2005-03-31
Michigan,54,2005-03-31
Minnesota,41,2005-03-31
Mississippi,36,2005-03-31
Missouri,46,2005-03-31
Montana,0,2005-03-31
Nebraska,20,2005-03-31
Nevada,0,2005-03-31
New Hampshire,71,2005-03-31
New Jersey,62,2005-03-31
New Mexico,86,2005-03-31
New York,88,2005-03-31
North Carolina,87,2005-03-31
North Dakota,0,2005-03-31
Ohio,63,2005-03-31
Oklahoma,62,2005-03-31
Oregon,39,2005-03-31
Pennsylvania,72,2005-03-31
Rhode Island,48,2005-03-31
South Carolina,72,2005-03-31
South Dakota,56,2005-03-31
Tennessee,52,2005-03-31
Texas,92,2005-03-31
Utah,44,2005-03-31
Vermont,37,2005-03-31
Virginia,83,2005-03-31
Washington,61,2005-03-31
West Virginia,88,2005-03-31
Wisconsin,93,2005-03-31
Wyoming,72,2005-03-31
Alabama,61,2005-04-30
Alaska,0,2005-04-30
Arizona,40,2005-04-30
Arkansas,51,2005-04-30
California,66,2005-04-30
Colorado,84,2005-04-30
Connecticut,36,2005-04-30
Delaware,0,2005-04-30
District of Columbia,100,2005-04-30
Florida,74,2005-04-30
Georgia,68,2005-04-30
Hawaii,40,2005-04-30
Idaho,57,2005-04-30
Illinois,52,2005-04-30
Indiana,54,2005-04-30
Iowa,66,2005-04-30
Kansas,46,2005-04-30
Kentucky,51,2005-04-30
Louisiana,46,2005-04-30
Maine,61,2005-04-30
Maryland,76,2005-04-30
Massachusetts,49,2005-04-30
Michigan,59,2005-04-30
Minnesota,43,2005-04-30
Mississippi,31,2005-04-30
Missouri,64,2005-04-30
Montana,87,2005-04-30
Nebraska,53,2005-04-30
Nevada,66,2005-04-30
New Hampshire,74,2005-04-30
New Jersey,58,2005-04-30
New Mexico,25,2005-04-30
New York,88,2005-04-30
North Carolina,53,2005-04-30
North Dakota,0,2005-04-30
Ohio,47,2005-04-30
Oklahoma,40,2005-04-30
Oregon,56,2005-04-30
Pennsylvania,49,2005-04-30
Rhode Island,20,2005-04-30
South Carolina,87,2005-04-30
South Dakota,0,2005-04-30
Tennessee,30,2005-04-30
Texas,86,2005-04-30
Utah,24,2005-04-30
Vermont,30,2005-04-30
Virginia,67,2005-04-30
Washington,51,2005-04-30
West Virginia,39,2005-04-30
Wisconsin,25,2005-04-30
Wyoming,0,2005-04-30
Alabama,21,2005-05-31
Alaska,0,2005-05-31
Arizona,75,2005-05-31
Arkansas,72,2005-05-31
California,51,2005-05-31
Colorado,28,2005-05-31
Connecticut,98,2005-05-31
Delaware,0,2005-05-31
District of Columbia,100,2005-05-31
Florida,56,2005-05-31
Georgia,42,2005-05-31
Hawaii,73,2005-05-31
Idaho,55,2005-05-31
Illinois,60,2005-05-31
Indiana,58,2005-05-31
Iowa,26,2005-05-31
Kansas,73,2005-05-31
Kentucky,46,2005-05-31
Louisiana,32,2005-05-31
Maine,0,2005-05-31
Maryland,75,2005-05-31
Massachusetts,38,2005-05-31
Michigan,58,2005-05-31
Minnesota,67,2005-05-31
Mississippi,28,2005-05-31
Missouri,38,2005-05-31
Montana,0,2005-05-31
Nebraska,65,2005-05-31
Nevada,14,2005-05-31
New Hampshire,34,2005-05-31
New Jersey,54,2005-05-31
New Mexico,43,2005-05-31
New York,61,2005-05-31
North Carolina,40,2005-05-31
North Dakota,0,2005-05-31
Ohio,28,2005-05-31
Oklahoma,36,2005-05-31
Oregon,22,2005-05-31
Pennsylvania,32,2005-05-31
Rhode Island,57,2005-05-31
South Carolina,44,2005-05-31
South Dakota,0,2005-05-31
Tennessee,32,2005-05-31
Texas,87,2005-05-31
Utah,43,2005-05-31
Vermont,0,2005-05-31
Virginia,68,2005-05-31
Washington,54,2005-05-31
West Virginia,75,2005-05-31
Wisconsin,24,2005-05-31
Wyoming,61,2005-05-31
Alabama,39,2005-06-30
Alaska,0,2005-06-30
Arizona,25,2005-06-30
Arkansas,0,2005-06-30
California,57,2005-06-30
Colorado,48,2005-06-30
Connecticut,78,2005-06-30
Delaware,37,2005-06-30
District of Columbia,100,2005-06-30
Florida,84,2005-06-30
Georgia,53,2005-06-30
Hawaii,33,2005-06-30
Idaho,26,2005-06-30
Illinois,78,2005-06-30
Indiana,47,2005-06-30
Iowa,24,2005-06-30
Kansas,10,2005-06-30
Kentucky,43,2005-06-30
Louisiana,39,2005-06-30
Maine,21,2005-06-30
Maryland,48,2005-06-30
Massachusetts,41,2005-06-30
Michigan,53,2005-06-30
Minnesota,68,2005-06-30
Mississippi,25,2005-06-30
Missouri,51,2005-06-30
Montana,80,2005-06-30
Nebraska,31,2005-06-30
Nevada,39,2005-06-30
New Hampshire,48,2005-06-30
New Jersey,52,2005-06-30
New Mexico,20,2005-06-30
New York,46,2005-06-30
North Carolina,34,2005-06-30
North Dakota,0,2005-06-30
Ohio,47,2005-06-30
Oklahoma,22,2005-06-30
Oregon,11,2005-06-30
Pennsylvania,55,2005-06-30
Rhode Island,36,2005-06-30
South Carolina,52,2005-06-30
South Dakota,45,2005-06-30
Tennessee,36,2005-06-30
Texas,62,2005-06-30
Utah,21,2005-06-30
Vermont,0,2005-06-30
Virginia,60,2005-06-30
Washington,54,2005-06-30
West Virginia,0,2005-06-30
Wisconsin,36,2005-06-30
Wyoming,58,2005-06-30
Alabama,23,2005-07-31
Alaska,35,2005-07-31
Arizona,57,2005-07-31
Arkansas,74,2005-07-31
California,63,2005-07-31
Colorado,55,2005-07-31
Connecticut,39,2005-07-31
Delaware,91,2005-07-31
District of Columbia,84,2005-07-31
Florida,85,2005-07-31
Georgia,81,2005-07-31
Hawaii,61,2005-07-31
Idaho,60,2005-07-31
Illinois,56,2005-07-31
Indiana,46,2005-07-31
Iowa,0,2005-07-31
Kansas,45,2005-07-31
Kentucky,32,2005-07-31
Louisiana,85,2005-07-31
Maine,47,2005-07-31
Maryland,57,2005-07-31
Massachusetts,46,2005-07-31
Michigan,33,2005-07-31
Minnesota,55,2005-07-31
Mississippi,31,2005-07-31
Missouri,52,2005-07-31
Montana,0,2005-07-31
Nebraska,35,2005-07-31
Nevada,16,2005-07-31
New Hampshire,57,2005-07-31
New Jersey,68,2005-07-31
New Mexico,23,2005-07-31
New York,71,2005-07-31
North Carolina,43,2005-07-31
North Dakota,0,2005-07-31
Ohio,43,2005-07-31
Oklahoma,51,2005-07-31
Oregon,19,2005-07-31
Pennsylvania,69,2005-07-31
Rhode Island,88,2005-07-31
South Carolina,24,2005-07-31
South Dakota,54,2005-07-31
Tennessee,62,2005-07-31
Texas,100,2005-07-31
Utah,97,2005-07-31
Vermont,0,2005-07-31
Virginia,53,2005-07-31
Washington,70,2005-07-31
West Virginia,0,2005-07-31
Wisconsin,22,2005-07-31
Wyoming,67,2005-07-31
Alabama,28,2005-08-31
Alaska,58,2005-08-31
Arizona,51,2005-08-31
Arkansas,0,2005-08-31
California,45,2005-08-31
Colorado,24,2005-08-31
Connecticut,18,2005-08-31
Delaware,100,2005-08-31
District of Columbia,55,2005-08-31
Florida,47,2005-08-31
Georgia,61,2005-08-31
Hawaii,32,2005-08-31
Idaho,23,2005-08-31
Illinois,51,2005-08-31
Indiana,29,2005-08-31
Iowa,32,2005-08-31
Kansas,56,2005-08-31
Kentucky,25,2005-08-31
Louisiana,37,2005-08-31
Maine,0,2005-08-31
Maryland,81,2005-08-31
Massachusetts,32,2005-08-31
Michigan,51,2005-08-31
Minnesota,36,2005-08-31
Mississippi,27,2005-08-31
Missouri,45,2005-08-31
Montana,33,2005-08-31
Nebraska,0,2005-08-31
Nevada,39,2005-08-31
New Hampshire,15,2005-08-31
New Jersey,44,2005-08-31
New Mexico,18,2005-08-31
New York,44,2005-08-31
North Carolina,55,2005-08-31
North Dakota,0,2005-08-31
Ohio,26,2005-08-31
Oklahoma,82,2005-08-31
Oregon,21,2005-08-31
Pennsylvania,54,2005-08-31
Rhode Island,16,2005-08-31
South Carolina,46,2005-08-31
South Dakota,81,2005-08-31
Tennessee,33,2005-08-31
Texas,70,2005-08-31
Utah,9,2005-08-31
Vermont,75,2005-08-31
Virginia,59,2005-08-31
Washington,45,2005-08-31
West Virginia,30,2005-08-31
Wisconsin,30,2005-08-31
Wyoming,0,2005-08-31
Alabama,38,2005-09-30
Alaska,29,2005-09-30
Arizona,28,2005-09-30
Arkansas,0,2005-09-30
California,46,2005-09-30
Colorado,21,2005-09-30
Connecticut,35,2005-09-30
Delaware,0,2005-09-30
District of Columbia,55,2005-09-30
Florida,63,2005-09-30
Georgia,38,2005-09-30
Hawaii,48,2005-09-30
Idaho,22,2005-09-30
Illinois,48,2005-09-30
Indiana,24,2005-09-30
Iowa,21,2005-09-30
Kansas,19,2005-09-30
Kentucky,0,2005-09-30
Louisiana,34,2005-09-30
Maine,0,2005-09-30
Maryland,50,2005-09-30
Massachusetts,21,2005-09-30
Michigan,31,2005-09-30
Minnesota,28,2005-09-30
Mississippi,0,2005-09-30
Missouri,39,2005-09-30
Montana,67,2005-09-30
Nebraska,14,2005-09-30
Nevada,53,2005-09-30
New Hampshire,29,2005-09-30
New Jersey,43,2005-09-30
New Mexico,56,2005-09-30
New York,50,2005-09-30
North Carolina,25,2005-09-30
North Dakota,0,2005-09-30
Ohio,29,2005-09-30
Oklahoma,11,2005-09-30
Oregon,26,2005-09-30
Pennsylvania,44,2005-09-30
Rhode Island,48,2005-09-30
South Carolina,9,2005-09-30
South Dakota,0,2005-09-30
Tennessee,23,2005-09-30
Texas,65,2005-09-30
Utah,56,2005-09-30
Vermont,100,2005-09-30
Virginia,47,2005-09-30
Washington,23,2005-09-30
West Virginia,0,2005-09-30
Wisconsin,47,2005-09-30
Wyoming,51,2005-09-30
Alabama,82,2005-10-31
Alaska,56,2005-10-31
Arizona,35,2005-10-31
Arkansas,52,2005-10-31
California,38,2005-10-31
Colorado,28,2005-10-31
Connecticut,23,2005-10-31
Delaware,66,2005-10-31
District of Columbia,64,2005-10-31
Florida,57,2005-10-31
Georgia,54,2005-10-31
Hawaii,47,2005-10-31
Idaho,64,2005-10-31
Illinois,36,2005-10-31
Indiana,17,2005-10-31
Iowa,21,2005-10-31
Kansas,46,2005-10-31
Kentucky,12,2005-10-31
Louisiana,0,2005-10-31
Maine,17,2005-10-31
Maryland,49,2005-10-31
Massachusetts,38,2005-10-31
Michigan,38,2005-10-31
Minnesota,42,2005-10-31
Mississippi,47,2005-10-31
Missouri,37,2005-10-31
Montana,31,2005-10-31
Nebraska,53,2005-10-31
Nevada,38,2005-10-31
New Hampshire,42,2005-10-31
New Jersey,40,2005-10-31
New Mexico,36,2005-10-31
New York,48,2005-10-31
North Carolina,60,2005-10-31
North Dakota,0,2005-10-31
Ohio,25,2005-10-31
Oklahoma,72,2005-10-31
Oregon,15,2005-10-31
Pennsylvania,49,2005-10-31
Rhode Island,0,2005-10-31
South Carolina,55,2005-10-31
South Dakota,40,2005-10-31
Tennessee,16,2005-10-31
Texas,61,2005-10-31
Utah,100,2005-10-31
Vermont,0,2005-10-31
Virginia,60,2005-10-31
Washington,40,2005-10-31
West Virginia,0,2005-10-31
Wisconsin,37,2005-10-31
Wyoming,0,2005-10-31
Alabama,39,2005-11-30
Alaska,0,2005-11-30
Arizona,61,2005-11-30
Arkansas,19,2005-11-30
California,37,2005-11-30
Colorado,42,2005-11-30
Connecticut,18,2005-11-30
Delaware,0,2005-11-30
District of Columbia,66,2005-11-30
Florida,64,2005-11-30
Georgia,43,2005-11-30
Hawaii,16,2005-11-30
Idaho,45,2005-11-30
Illinois,39,2005-11-30
Indiana,12,2005-11-30
Iowa,0,2005-11-30
Kansas,10,2005-11-30
Kentucky,14,2005-11-30
Louisiana,63,2005-11-30
Maine,0,2005-11-30
Maryland,35,2005-11-30
Massachusetts,40,2005-11-30
Michigan,43,2005-11-30
Minnesota,44,2005-11-30
Mississippi,50,2005-11-30
Missouri,43,2005-11-30
Montana,33,2005-11-30
Nebraska,42,2005-11-30
Nevada,38,2005-11-30
New Hampshire,60,2005-11-30
New Jersey,43,2005-11-30
New Mexico,39,2005-11-30
New York,35,2005-11-30
North Carolina,26,2005-11-30
North Dakota,47,2005-11-30
Ohio,35,2005-11-30
Oklahoma,21,2005-11-30
Oregon,26,2005-11-30
Pennsylvania,25,2005-11-30
Rhode Island,65,2005-11-30
South Carolina,41,2005-11-30
South Dakota,42,2005-11-30
Tennessee,12,2005-11-30
Texas,52,2005-11-30
Utah,48,2005-11-30
Vermont,25,2005-11-30
Virginia,40,2005-11-30
Washington,40,2005-11-30
West Virginia,31,2005-11-30
Wisconsin,38,2005-11-30
Wyoming,100,2005-11-30
Alabama,55,2005-12-31
Alaska,95,2005-12-31
Arizona,86,2005-12-31
Arkansas,61,2005-12-31
California,78,2005-12-31
Colorado,42,2005-12-31
Connecticut,26,2005-12-31
Delaware,0,2005-12-31
District of Columbia,86,2005-12-31
Florida,91,2005-12-31
Georgia,55,2005-12-31
Hawaii,0,2005-12-31
Idaho,49,2005-12-31
Illinois,67,2005-12-31
Indiana,88,2005-12-31
Iowa,100,2005-12-31
Kansas,65,2005-12-31
Kentucky,30,2005-12-31
Louisiana,46,2005-12-31
Maine,0,2005-12-31
Maryland,64,2005-12-31
Massachusetts,68,2005-12-31
Michigan,67,2005-12-31
Minnesota,54,2005-12-31
Mississippi,27,2005-12-31
Missouri,61,2005-12-31
Montana,36,2005-12-31
Nebraska,95,2005-12-31
Nevada,44,2005-12-31
New Hampshire,68,2005-12-31
New Jersey,79,2005-12-31
New Mexico,86,2005-12-31
New York,78,2005-12-31
North Carolina,75,2005-12-31
North Dakota,0,2005-12-31
Ohio,65,2005-12-31
Oklahoma,60,2005-12-31
Oregon,34,2005-12-31
Pennsylvania,39,2005-12-31
Rhode Island,75,2005-12-31
South Carolina,55,2005-12-31
South Dakota,0,2005-12-31
Tennessee,25,2005-12-31
Texas,100,2005-12-31
Utah,32,2005-12-31
Vermont,29,2005-12-31
Virginia,85,2005-12-31
Washington,72,2005-12-31
West Virginia,68,2005-12-31
Wisconsin,68,2005-12-31
Wyoming,58,2005-12-31
Alabama,32,2006-01-31
Alaska,20,2006-01-31
Arizona,25,2006-01-31
Arkansas,24,2006-01-31
California,42,2006-01-31
Colorado,34,2006-01-31
Connecticut,25,2006-01-31
Delaware,100,2006-01-31
District of Columbia,37,2006-01-31
Florida,46,2006-01-31
Georgia,53,2006-01-31
Hawaii,57,2006-01-31
Idaho,76,2006-01-31
Illinois,40,2006-01-31
Indiana,20,2006-01-31
Iowa,65,2006-01-31
Kansas,33,2006-01-31
Kentucky,18,2006-01-31
Louisiana,28,2006-01-31
Maine,0,2006-01-31
Maryland,33,2006-01-31
Massachusetts,36,2006-01-31
Michigan,33,2006-01-31
Minnesota,47,2006-01-31
Mississippi,15,2006-01-31
Missouri,35,2006-01-31
Montana,0,2006-01-31
Nebraska,10,2006-01-31
Nevada,54,2006-01-31
New Hampshire,31,2006-01-31
New Jersey,45,2006-01-31
New Mexico,51,2006-01-31
New York,36,2006-01-31
North Carolina,36,2006-01-31
North Dakota,30,2006-01-31
Ohio,21,2006-01-31
Oklahoma,50,2006-01-31
Oregon,22,2006-01-31
Pennsylvania,34,2006-01-31
Rhode Island,46,2006-01-31
South Carolina,65,2006-01-31
South Dakota,0,2006-01-31
Tennessee,23,2006-01-31
Texas,70,2006-01-31
Utah,26,2006-01-31
Vermont,36,2006-01-31
Virginia,61,2006-01-31
Washington,47,2006-01-31
West Virginia,40,2006-01-31
Wisconsin,41,2006-01-31
Wyoming,0,2006-01-31
Alabama,65,2006-02-28
Alaska,24,2006-02-28
Arizona,65,2006-02-28
Arkansas,15,2006-02-28
California,60,2006-02-28
Colorado,58,2006-02-28
Connecticut,59,2006-02-28
Delaware,89,2006-02-28
District of Columbia,81,2006-02-28
Florida,100,2006-02-28
Georgia,60,2006-02-28
Hawaii,39,2006-02-28
Idaho,54,2006-02-28
Illinois,66,2006-02-28
Indiana,59,2006-02-28
Iowa,9,2006-02-28
Kansas,48,2006-02-28
Kentucky,11,2006-02-28
Louisiana,41,2006-02-28
Maine,14,2006-02-28
Maryland,68,2006-02-28
Massachusetts,54,2006-02-28
Michigan,55,2006-02-28
Minnesota,63,2006-02-28
Mississippi,19,2006-02-28
Missouri,42,2006-02-28
Montana,0,2006-02-28
Nebraska,67,2006-02-28
Nevada,72,2006-02-28
New Hampshire,26,2006-02-28
New Jersey,49,2006-02-28
New Mexico,62,2006-02-28
New York,68,2006-02-28
North Carolina,63,2006-02-28
North Dakota,72,2006-02-28
Ohio,43,2006-02-28
Oklahoma,88,2006-02-28
Oregon,30,2006-02-28
Pennsylvania,54,2006-02-28
Rhode Island,40,2006-02-28
South Carolina,47,2006-02-28
South Dakota,0,2006-02-28
Tennessee,38,2006-02-28
Texas,87,2006-02-28
Utah,45,2006-02-28
Vermont,21,2006-02-28
Virginia,53,2006-02-28
Washington,63,2006-02-28
West Virginia,49,2006-02-28
Wisconsin,39,2006-02-28
Wyoming,0,2006-02-28
Alabama,96,2006-03-31
Alaska,0,2006-03-31
Arizona,76,2006-03-31
Arkansas,31,2006-03-31
California,68,2006-03-31
Colorado,47,2006-03-31
Connecticut,48,2006-03-31
Delaware,64,2006-03-31
District of Columbia,94,2006-03-31
Florida,94,2006-03-31
Georgia,76,2006-03-31
Hawaii,28,2006-03-31
Idaho,39,2006-03-31
Illinois,79,2006-03-31
Indiana,32,2006-03-31
Iowa,38,2006-03-31
Kansas,51,2006-03-31
Kentucky,37,2006-03-31
Louisiana,91,2006-03-31
Maine,47,2006-03-31
Maryland,80,2006-03-31
Massachusetts,67,2006-03-31
Michigan,69,2006-03-31
Minnesota,61,2006-03-31
Mississippi,41,2006-03-31
Missouri,56,2006-03-31
Montana,0,2006-03-31
Nebraska,62,2006-03-31
Nevada,44,2006-03-31
New Hampshire,57,2006-03-31
New Jersey,85,2006-03-31
New Mexico,49,2006-03-31
New York,52,2006-03-31
North Carolina,51,2006-03-31
North Dakota,0,2006-03-31
Ohio,44,2006-03-31
Oklahoma,55,2006-03-31
Oregon,52,2006-03-31
Pennsylvania,45,2006-03-31
Rhode Island,44,2006-03-31
South Carolina,61,2006-03-31
South Dakota,70,2006-03-31
Tennessee,25,2006-03-31
Texas,100,2006-03-31
Utah,25,2006-03-31
Vermont,47,2006-03-31
Virginia,95,2006-03-31
Washington,63,2006-03-31
West Virginia,27,2006-03-31
Wisconsin,50,2006-03-31
Wyoming,95,2006-03-31
Alabama,42,2006-04-30
Alaska,26,2006-04-30
Arizona,74,2006-04-30
Arkansas,48,2006-04-30
California,66,2006-04-30
Colorado,53,2006-04-30
Connecticut,64,2006-04-30
Delaware,28,2006-04-30
District of Columbia,92,2006-04-30
Florida,100,2006-04-30
Georgia,61,2006-04-30
Hawaii,53,2006-04-30
Idaho,78,2006-04-30
Illinois,74,2006-04-30
Indiana,58,2006-04-30
Iowa,48,2006-04-30
Kansas,50,2006-04-30
Kentucky,40,2006-04-30
Louisiana,42,2006-04-30
Maine,0,2006-04-30
Maryland,48,2006-04-30
Massachusetts,68,2006-04-30
Michigan,55,2006-04-30
Minnesota,45,2006-04-30
Mississippi,21,2006-04-30
Missouri,64,2006-04-30
Montana,0,2006-04-30
Nebraska,98,2006-04-30
Nevada,72,2006-04-30
New Hampshire,38,2006-04-30
New Jersey,62,2006-04-30
New Mexico,49,2006-04-30
New York,72,2006-04-30
North Carolina,54,2006-04-30
North Dakota,0,2006-04-30
Ohio,37,2006-04-30
Oklahoma,28,2006-04-30
Oregon,34,2006-04-30
Pennsylvania,60,2006-04-30
Rhode Island,55,2006-04-30
South Carolina,51,2006-04-30
South Dakota,0,2006-04-30
Tennessee,45,2006-04-30
Texas,90,2006-04-30
Utah,34,2006-04-30
Vermont,23,2006-04-30
Virginia,65,2006-04-30
Washington,55,2006-04-30
West Virginia,26,2006-04-30
Wisconsin,48,2006-04-30
Wyoming,92,2006-04-30
Alabama,41,2006-05-31
Alaska,65,2006-05-31
Arizona,66,2006-05-31
Arkansas,40,2006-05-31
California,57,2006-05-31
Colorado,44,2006-05-31
Connecticut,33,2006-05-31
Delaware,51,2006-05-31
District of Columbia,34,2006-05-31
Florida,65,2006-05-31
Georgia,71,2006-05-31
Hawaii,55,2006-05-31
Idaho,17,2006-05-31
Illinois,51,2006-05-31
Indiana,39,2006-05-31
Iowa,34,2006-05-31
Kansas,35,2006-05-31
Kentucky,30,2006-05-31
Louisiana,42,2006-05-31
Maine,75,2006-05-31
Maryland,49,2006-05-31
Massachusetts,50,2006-05-31
Michigan,38,2006-05-31
Minnesota,44,2006-05-31
Mississippi,35,2006-05-31
Missouri,76,2006-05-31
Montana,54,2006-05-31
Nebraska,42,2006-05-31
Nevada,33,2006-05-31
New Hampshire,11,2006-05-31
New Jersey,60,2006-05-31
New Mexico,81,2006-05-31
New York,54,2006-05-31
North Carolina,55,2006-05-31
North Dakota,0,2006-05-31
Ohio,25,2006-05-31
Oklahoma,23,2006-05-31
Oregon,47,2006-05-31
Pennsylvania,51,2006-05-31
Rhode Island,24,2006-05-31
South Carolina,100,2006-05-31
South Dakota,0,2006-05-31
Tennessee,53,2006-05-31
Texas,85,2006-05-31
Utah,49,2006-05-31
Vermont,39,2006-05-31
Virginia,63,2006-05-31
Washington,57,2006-05-31
West Virginia,68,2006-05-31
Wisconsin,39,2006-05-31
Wyoming,41,2006-05-31
Alabama,46,2006-06-30
Alaska,40,2006-06-30
Arizona,68,2006-06-30
Arkansas,62,2006-06-30
California,53,2006-06-30
Colorado,25,2006-06-30
Connecticut,42,2006-06-30
Delaware,51,2006-06-30
District of Columbia,72,2006-06-30
Florida,69,2006-06-30
Georgia,52,2006-06-30
Hawaii,83,2006-06-30
Idaho,16,2006-06-30
Illinois,70,2006-06-30
Indiana,24,2006-06-30
Iowa,34,2006-06-30
Kansas,27,2006-06-30
Kentucky,50,2006-06-30
Louisiana,41,2006-06-30
Maine,13,2006-06-30
Maryland,78,2006-06-30
Massachusetts,39,2006-06-30
Michigan,36,2006-06-30
Minnesota,52,2006-06-30
Mississippi,50,2006-06-30
Missouri,44,2006-06-30
Montana,50,2006-06-30
Nebraska,50,2006-06-30
Nevada,24,2006-06-30
New Hampshire,100,2006-06-30
New Jersey,48,2006-06-30
New Mexico,40,2006-06-30
New York,60,2006-06-30
North Carolina,46,2006-06-30
North Dakota,0,2006-06-30
Ohio,40,2006-06-30
Oklahoma,80,2006-06-30
Oregon,40,2006-06-30
Pennsylvania,39,2006-06-30
Rhode Island,37,2006-06-30
South Carolina,61,2006-06-30
South Dakota,28,2006-06-30
Tennessee,51,2006-06-30
Texas,71,2006-06-30
Utah,47,2006-06-30
Vermont,0,2006-06-30
Virginia,84,2006-06-30
Washington,49,2006-06-30
West Virginia,22,2006-06-30
Wisconsin,36,2006-06-30
Wyoming,40,2006-06-30
Alabama,38,2006-07-31
Alaska,17,2006-07-31
Arizona,54,2006-07-31
Arkansas,20,2006-07-31
California,43,2006-07-31
Colorado,37,2006-07-31
Connecticut,28,2006-07-31
Delaware,67,2006-07-31
District of Columbia,57,2006-07-31
Florida,42,2006-07-31
Georgia,56,2006-07-31
Hawaii,9,2006-07-31
Idaho,0,2006-07-31
Illinois,57,2006-07-31
Indiana,15,2006-07-31
Iowa,0,2006-07-31
Kansas,17,2006-07-31
Kentucky,36,2006-07-31
Louisiana,45,2006-07-31
Maine,53,2006-07-31
Maryland,43,2006-07-31
Massachusetts,50,2006-07-31
Michigan,31,2006-07-31
Minnesota,47,2006-07-31
Mississippi,13,2006-07-31
Missouri,51,2006-07-31
Montana,0,2006-07-31
Nebraska,57,2006-07-31
Nevada,41,2006-07-31
New Hampshire,28,2006-07-31
New Jersey,55,2006-07-31
New Mexico,32,2006-07-31
New York,55,2006-07-31
North Carolina,24,2006-07-31
North Dakota,92,2006-07-31
Ohio,26,2006-07-31
Oklahoma,6,2006-07-31
Oregon,30,2006-07-31
Pennsylvania,45,2006-07-31
Rhode Island,41,2006-07-31
South Carolina,65,2006-07-31
South Dakota,71,2006-07-31
Tennessee,49,2006-07-31
Texas,62,2006-07-31
Utah,11,2006-07-31
Vermont,32,2006-07-31
Virginia,52,2006-07-31
Washington,59,2006-07-31
West Virginia,0,2006-07-31
Wisconsin,16,2006-07-31
Wyoming,100,2006-07-31
