geoName,Real Estate Listings,year
North Carolina,17,2005-03-31
North Dakota,0,2005-03-31
Ohio,0,2005-03-31
Oklahoma,28,2005-03-31
Oregon,28,2005-03-31
Pennsylvania,10,2005-03-31
Rhode Island,43,2005-03-31
South Carolina,26,2005-03-31
South Dakota,100,2005-03-31
Tennessee,15,2005-03-31
Texas,13,2005-03-31
Utah,26,2005-03-31
Vermont,66,2005-03-31
Virginia,24,2005-03-31
Washington,27,2005-03-31
West Virginia,0,2005-03-31
Wisconsin,22,2005-03-31
Wyoming,0,2005-03-31
Alabama,41,2005-04-30
Alaska,0,2005-04-30
Arizona,34,2005-04-30
Arkansas,0,2005-04-30
California,59,2005-04-30
Colorado,35,2005-04-30
Connecticut,48,2005-04-30
Delaware,0,2005-04-30
District of Columbia,59,2005-04-30
Florida,26,2005-04-30
Georgia,19,2005-04-30
Hawaii,68,2005-04-30
Idaho,0,2005-04-30
Illinois,33,2005-04-30
Indiana,0,2005-04-30
Iowa,0,2005-04-30
Kansas,0,2005-04-30
Kentucky,0,2005-04-30
Louisiana,0,2005-04-30
Maine,0,2005-04-30
Maryland,16,2005-04-30
Massachusetts,43,2005-04-30
Michigan,35,2005-04-30
Minnesota,16,2005-04-30
Mississippi,0,2005-04-30
Missouri,16,2005-04-30
Montana,0,2005-04-30
Nebraska,0,2005-04-30
Nevada,0,2005-04-30
New Hampshire,0,2005-04-30
New Jersey,10,2005-04-30
New Mexico,0,2005-04-30
New York,27,2005-04-30
North Carolina,28,2005-04-30
North Dakota,0,2005-04-30
Ohio,20,2005-04-30
Oklahoma,0,2005-04-30
Oregon,42,2005-04-30
Pennsylvania,25,2005-04-30
Rhode Island,0,2005-04-30
South Carolina,0,2005-04-30
South Dakota,0,2005-04-30
Tennessee,51,2005-04-30
Texas,34,2005-04-30
Utah,0,2005-04-30
Vermont,100,2005-04-30
Virginia,47,2005-04-30
Washington,30,2005-04-30
West Virginia,0,2005-04-30
Wisconsin,0,2005-04-30
Wyoming,0,2005-04-30
Alabama,0,2005-05-31
Alaska,0,2005-05-31
Arizona,46,2005-05-31
Arkansas,62,2005-05-31
California,41,2005-05-31
Colorado,36,2005-05-31
Connecticut,17,2005-05-31
Delaware,100,2005-05-31
District of Columbia,25,2005-05-31
Florida,21,2005-05-31
Georgia,26,2005-05-31
Hawaii,0,2005-05-31
Idaho,72,2005-05-31
Illinois,5,2005-05-31
Indiana,0,2005-05-31
Iowa,0,2005-05-31
Kansas,27,2005-05-31
Kentucky,0,2005-05-31
Louisiana,27,2005-05-31
Maine,0,2005-05-31
Maryland,22,2005-05-31
Massachusetts,6,2005-05-31
Michigan,25,2005-05-31
Minnesota,35,2005-05-31
Mississippi,0,2005-05-31
Missouri,22,2005-05-31
Montana,0,2005-05-31
Nebraska,42,2005-05-31
Nevada,0,2005-05-31
New Hampshire,45,2005-05-31
New Jersey,13,2005-05-31
New Mexico,0,2005-05-31
New York,31,2005-05-31
North Carolina,9,2005-05-31
North Dakota,0,2005-05-31
Ohio,22,2005-05-31
Oklahoma,31,2005-05-31
Oregon,0,2005-05-31
Pennsylvania,18,2005-05-31
Rhode Island,0,2005-05-31
South Carolina,58,2005-05-31
South Dakota,0,2005-05-31
Tennessee,67,2005-05-31
Texas,10,2005-05-31
Utah,0,2005-05-31
Vermont,0,2005-05-31
Virginia,32,2005-05-31
Washington,0,2005-05-31
West Virginia,0,2005-05-31
Wisconsin,25,2005-05-31
Wyoming,0,2005-05-31
Alabama,25,2005-06-30
Alaska,0,2005-06-30
Arizona,31,2005-06-30
Arkansas,55,2005-06-30
California,15,2005-06-30
Colorado,33,2005-06-30
Connecticut,16,2005-06-30
Delaware,0,2005-06-30
District of Columbia,23,2005-06-30
Florida,35,2005-06-30
Georgia,17,2005-06-30
Hawaii,42,2005-06-30
Idaho,0,2005-06-30
Illinois,17,2005-06-30
Indiana,0,2005-06-30
Iowa,0,2005-06-30
Kansas,0,2005-06-30
Kentucky,0,2005-06-30
Louisiana,0,2005-06-30
Maine,0,2005-06-30
Maryland,10,2005-06-30
Massachusetts,34,2005-06-30
Michigan,23,2005-06-30
Minnesota,21,2005-06-30
Mississippi,62,2005-06-30
Missouri,30,2005-06-30
Montana,100,2005-06-30
Nebraska,0,2005-06-30
Nevada,0,2005-06-30
New Hampshire,0,2005-06-30
New Jersey,19,2005-06-30
New Mexico,49,2005-06-30
New York,12,2005-06-30
North Carolina,25,2005-06-30
North Dakota,0,2005-06-30
Ohio,20,2005-06-30
Oklahoma,0,2005-06-30
Oregon,41,2005-06-30
Pennsylvania,32,2005-06-30
Rhode Island,0,2005-06-30
South Carolina,52,2005-06-30
South Dakota,0,2005-06-30
Tennessee,15,2005-06-30
Texas,12,2005-06-30
Utah,0,2005-06-30
Vermont,0,2005-06-30
Virginia,0,2005-06-30
Washington,7,2005-06-30
West Virginia,0,2005-06-30
Wisconsin,0,2005-06-30
Wyoming,0,2005-06-30
Alabama,0,2005-07-31
Alaska,0,2005-07-31
Arizona,16,2005-07-31
Arkansas,0,2005-07-31
California,30,2005-07-31
Colorado,33,2005-07-31
Connecticut,26,2005-07-31
Delaware,0,2005-07-31
District of Columbia,37,2005-07-31
Florida,24,2005-07-31
Georgia,18,2005-07-31
Hawaii,0,2005-07-31
Idaho,100,2005-07-31
Illinois,33,2005-07-31
Indiana,0,2005-07-31
Iowa,0,2005-07-31
Kansas,38,2005-07-31
Kentucky,54,2005-07-31
Louisiana,0,2005-07-31
Maine,0,2005-07-31
Maryland,16,2005-07-31
Massachusetts,90,2005-07-31
Michigan,12,2005-07-31
Minnesota,66,2005-07-31
Mississippi,0,2005-07-31
Missouri,16,2005-07-31
Montana,0,2005-07-31
Nebraska,0,2005-07-31
Nevada,53,2005-07-31
New Hampshire,0,2005-07-31
New Jersey,29,2005-07-31
New Mexico,76,2005-07-31
New York,27,2005-07-31
North Carolina,26,2005-07-31
North Dakota,0,2005-07-31
Ohio,30,2005-07-31
Oklahoma,0,2005-07-31
Oregon,64,2005-07-31
Pennsylvania,17,2005-07-31
Rhode Island,73,2005-07-31
South Carolina,39,2005-07-31
South Dakota,0,2005-07-31
Tennessee,46,2005-07-31
Texas,37,2005-07-31
Utah,40,2005-07-31
Vermont,0,2005-07-31
Virginia,28,2005-07-31
Washington,63,2005-07-31
West Virginia,0,2005-07-31
Wisconsin,18,2005-07-31
Wyoming,0,2005-07-31
Alabama,41,2005-08-31
Alaska,0,2005-08-31
Arizona,17,2005-08-31
Arkansas,0,2005-08-31
California,15,2005-08-31
Colorado,9,2005-08-31
Connecticut,0,2005-08-31
Delaware,74,2005-08-31
District of Columbia,0,2005-08-31
Florida,13,2005-08-31
Georgia,5,2005-08-31
Hawaii,0,2005-08-31
Idaho,100,2005-08-31
Illinois,7,2005-08-31
Indiana,0,2005-08-31
Iowa,0,2005-08-31
Kansas,0,2005-08-31
Kentucky,28,2005-08-31
Louisiana,0,2005-08-31
Maine,39,2005-08-31
Maryland,8,2005-08-31
Massachusetts,14,2005-08-31
Michigan,6,2005-08-31
Minnesota,0,2005-08-31
Mississippi,0,2005-08-31
Missouri,8,2005-08-31
Montana,0,2005-08-31
Nebraska,0,2005-08-31
Nevada,0,2005-08-31
New Hampshire,33,2005-08-31
New Jersey,11,2005-08-31
New Mexico,0,2005-08-31
New York,14,2005-08-31
North Carolina,7,2005-08-31
North Dakota,0,2005-08-31
Ohio,27,2005-08-31
Oklahoma,0,2005-08-31
Oregon,12,2005-08-31
Pennsylvania,17,2005-08-31
Rhode Island,0,2005-08-31
South Carolina,0,2005-08-31
South Dakota,90,2005-08-31
Tennessee,24,2005-08-31
Texas,15,2005-08-31
Utah,0,2005-08-31
Vermont,0,2005-08-31
Virginia,24,2005-08-31
Washington,12,2005-08-31
West Virginia,0,2005-08-31
Wisconsin,10,2005-08-31
Wyoming,0,2005-08-31
Alabama,0,2005-09-30
Alaska,90,2005-09-30
Arizona,0,2005-09-30
Arkansas,0,2005-09-30
California,24,2005-09-30
Colorado,13,2005-09-30
Connecticut,19,2005-09-30
Delaware,0,2005-09-30
District of Columbia,0,2005-09-30
Florida,45,2005-09-30
Georgia,14,2005-09-30
Hawaii,0,2005-09-30
Idaho,0,2005-09-30
Illinois,21,2005-09-30
Indiana,19,2005-09-30
Iowa,0,2005-09-30
Kansas,60,2005-09-30
Kentucky,0,2005-09-30
Louisiana,0,2005-09-30
Maine,0,2005-09-30
Maryland,36,2005-09-30
Massachusetts,14,2005-09-30
Michigan,27,2005-09-30
Minnesota,25,2005-09-30
Mississippi,0,2005-09-30
Missouri,36,2005-09-30
Montana,0,2005-09-30
Nebraska,0,2005-09-30
Nevada,0,2005-09-30
New Hampshire,92,2005-09-30
New Jersey,15,2005-09-30
New Mexico,0,2005-09-30
New York,26,2005-09-30
North Carolina,39,2005-09-30
North Dakota,0,2005-09-30
Ohio,0,2005-09-30
Oklahoma,0,2005-09-30
Oregon,16,2005-09-30
Pennsylvania,0,2005-09-30
Rhode Island,100,2005-09-30
South Carolina,60,2005-09-30
South Dakota,0,2005-09-30
Tennessee,72,2005-09-30
Texas,7,2005-09-30
Utah,59,2005-09-30
Vermont,0,2005-09-30
Virginia,28,2005-09-30
Washington,16,2005-09-30
West Virginia,0,2005-09-30
Wisconsin,13,2005-09-30
Wyoming,0,2005-09-30
Alabama,0,2005-10-31
Alaska,0,2005-10-31
Arizona,0,2005-10-31
Arkansas,0,2005-10-31
California,13,2005-10-31
Colorado,14,2005-10-31
Connecticut,40,2005-10-31
Delaware,0,2005-10-31
District of Columbia,65,2005-10-31
Florida,26,2005-10-31
Georgia,8,2005-10-31
Hawaii,0,2005-10-31
Idaho,0,2005-10-31
Illinois,17,2005-10-31
Indiana,0,2005-10-31
Iowa,37,2005-10-31
Kansas,66,2005-10-31
Kentucky,0,2005-10-31
Louisiana,0,2005-10-31
Maine,0,2005-10-31
Maryland,53,2005-10-31
Massachusetts,30,2005-10-31
Michigan,9,2005-10-31
Minnesota,0,2005-10-31
Mississippi,82,2005-10-31
Missouri,0,2005-10-31
Montana,0,2005-10-31
Nebraska,0,2005-10-31
Nevada,0,2005-10-31
New Hampshire,100,2005-10-31
New Jersey,17,2005-10-31
New Mexico,0,2005-10-31
New York,9,2005-10-31
North Carolina,11,2005-10-31
North Dakota,0,2005-10-31
Ohio,16,2005-10-31
Oklahoma,36,2005-10-31
Oregon,0,2005-10-31
Pennsylvania,26,2005-10-31
Rhode Island,0,2005-10-31
South Carolina,65,2005-10-31
South Dakota,0,2005-10-31
Tennessee,0,2005-10-31
Texas,8,2005-10-31
Utah,0,2005-10-31
Vermont,0,2005-10-31
Virginia,16,2005-10-31
Washington,53,2005-10-31
West Virginia,0,2005-10-31
Wisconsin,0,2005-10-31
Wyoming,0,2005-10-31
Alabama,0,2005-11-30
Alaska,0,2005-11-30
Arizona,17,2005-11-30
Arkansas,0,2005-11-30
California,28,2005-11-30
Colorado,18,2005-11-30
Connecticut,100,2005-11-30
Delaware,0,2005-11-30
District of Columbia,0,2005-11-30
Florida,26,2005-11-30
Georgia,10,2005-11-30
Hawaii,0,2005-11-30
Idaho,0,2005-11-30
Illinois,7,2005-11-30
Indiana,0,2005-11-30
Iowa,0,2005-11-30
Kansas,41,2005-11-30
Kentucky,0,2005-11-30
Louisiana,44,2005-11-30
Maine,75,2005-11-30
Maryland,16,2005-11-30
Massachusetts,9,2005-11-30
Michigan,24,2005-11-30
Minnesota,0,2005-11-30
Mississippi,0,2005-11-30
Missouri,33,2005-11-30
Montana,0,2005-11-30
Nebraska,59,2005-11-30
Nevada,53,2005-11-30
New Hampshire,0,2005-11-30
New Jersey,20,2005-11-30
New Mexico,0,2005-11-30
New York,8,2005-11-30
North Carolina,27,2005-11-30
North Dakota,0,2005-11-30
Ohio,11,2005-11-30
Oklahoma,0,2005-11-30
Oregon,0,2005-11-30
Pennsylvania,8,2005-11-30
Rhode Island,0,2005-11-30
South Carolina,0,2005-11-30
South Dakota,0,2005-11-30
Tennessee,0,2005-11-30
Texas,10,2005-11-30
Utah,0,2005-11-30
Vermont,0,2005-11-30
Virginia,0,2005-11-30
Washington,45,2005-11-30
West Virginia,0,2005-11-30
Wisconsin,0,2005-11-30
Wyoming,0,2005-11-30
Alabama,19,2005-12-31
Alaska,0,2005-12-31
Arizona,23,2005-12-31
Arkansas,35,2005-12-31
California,11,2005-12-31
Colorado,24,2005-12-31
Connecticut,23,2005-12-31
Delaware,0,2005-12-31
District of Columbia,0,2005-12-31
Florida,15,2005-12-31
Georgia,22,2005-12-31
Hawaii,0,2005-12-31
Idaho,0,2005-12-31
Illinois,29,2005-12-31
Indiana,12,2005-12-31
Iowa,0,2005-12-31
Kansas,0,2005-12-31
Kentucky,0,2005-12-31
Louisiana,0,2005-12-31
Maine,35,2005-12-31
Maryland,8,2005-12-31
Massachusetts,4,2005-12-31
Michigan,5,2005-12-31
Minnesota,16,2005-12-31
Mississippi,0,2005-12-31
Missouri,8,2005-12-31
Montana,0,2005-12-31
Nebraska,0,2005-12-31
Nevada,0,2005-12-31
New Hampshire,0,2005-12-31
New Jersey,19,2005-12-31
New Mexico,37,2005-12-31
New York,7,2005-12-31
North Carolina,18,2005-12-31
North Dakota,88,2005-12-31
Ohio,23,2005-12-31
Oklahoma,0,2005-12-31
Oregon,10,2005-12-31
Pennsylvania,11,2005-12-31
Rhode Island,0,2005-12-31
South Carolina,19,2005-12-31
South Dakota,0,2005-12-31
Tennessee,22,2005-12-31
Texas,9,2005-12-31
Utah,0,2005-12-31
Vermont,0,2005-12-31
Virginia,14,2005-12-31
Washington,15,2005-12-31
West Virginia,0,2005-12-31
Wisconsin,0,2005-12-31
Wyoming,100,2005-12-31
Alabama,0,2006-01-31
Alaska,0,2006-01-31
Arizona,70,2006-01-31
Arkansas,61,2006-01-31
California,25,2006-01-31
Colorado,43,2006-01-31
Connecticut,62,2006-01-31
Delaware,0,2006-01-31
District of Columbia,83,2006-01-31
Florida,0,2006-01-31
Georgia,16,2006-01-31
Hawaii,58,2006-01-31
Idaho,0,2006-01-31
Illinois,23,2006-01-31
Indiana,20,2006-01-31
Iowa,73,2006-01-31
Kansas,0,2006-01-31
Kentucky,89,2006-01-31
Louisiana,0,2006-01-31
Maine,63,2006-01-31
Maryland,55,2006-01-31
Massachusetts,47,2006-01-31
Michigan,10,2006-01-31
Minnesota,0,2006-01-31
Mississippi,0,2006-01-31
Missouri,13,2006-01-31
Montana,0,2006-01-31
Nebraska,48,2006-01-31
Nevada,0,2006-01-31
New Hampshire,0,2006-01-31
New Jersey,9,2006-01-31
New Mexico,64,2006-01-31
New York,30,2006-01-31
North Carolina,11,2006-01-31
North Dakota,0,2006-01-31
Ohio,16,2006-01-31
Oklahoma,72,2006-01-31
Oregon,54,2006-01-31
Pennsylvania,39,2006-01-31
Rhode Island,0,2006-01-31
South Carolina,65,2006-01-31
South Dakota,0,2006-01-31
Tennessee,19,2006-01-31
Texas,29,2006-01-31
Utah,32,2006-01-31
Vermont,0,2006-01-31
Virginia,40,2006-01-31
Washington,28,2006-01-31
West Virginia,100,2006-01-31
Wisconsin,15,2006-01-31
Wyoming,0,2006-01-31
Alabama,0,2006-02-28
Alaska,0,2006-02-28
Arizona,18,2006-02-28
Arkansas,83,2006-02-28
California,11,2006-02-28
Colorado,28,2006-02-28
Connecticut,13,2006-02-28
Delaware,0,2006-02-28
District of Columbia,21,2006-02-28
Florida,14,2006-02-28
Georgia,0,2006-02-28
Hawaii,36,2006-02-28
Idaho,0,2006-02-28
Illinois,23,2006-02-28
Indiana,0,2006-02-28
Iowa,0,2006-02-28
Kansas,22,2006-02-28
Kentucky,0,2006-02-28
Louisiana,0,2006-02-28
Maine,0,2006-02-28
Maryland,9,2006-02-28
Massachusetts,15,2006-02-28
Michigan,6,2006-02-28
Minnesota,9,2006-02-28
Mississippi,0,2006-02-28
Missouri,26,2006-02-28
Montana,0,2006-02-28
Nebraska,0,2006-02-28
Nevada,0,2006-02-28
New Hampshire,71,2006-02-28
New Jersey,45,2006-02-28
New Mexico,42,2006-02-28
New York,21,2006-02-28
North Carolina,14,2006-02-28
North Dakota,100,2006-02-28
Ohio,22,2006-02-28
Oklahoma,0,2006-02-28
Oregon,0,2006-02-28
Pennsylvania,9,2006-02-28
Rhode Island,37,2006-02-28
South Carolina,87,2006-02-28
South Dakota,0,2006-02-28
Tennessee,27,2006-02-28
Texas,16,2006-02-28
Utah,21,2006-02-28
Vermont,0,2006-02-28
Virginia,21,2006-02-28
Washington,36,2006-02-28
West Virginia,0,2006-02-28
Wisconsin,0,2006-02-28
Wyoming,0,2006-02-28
Alabama,15,2006-03-31
Alaska,0,2006-03-31
Arizona,12,2006-03-31
Arkansas,0,2006-03-31
California,8,2006-03-31
Colorado,0,2006-03-31
Connecticut,9,2006-03-31
Delaware,0,2006-03-31
District of Columbia,7,2006-03-31
Florida,16,2006-03-31
Georgia,7,2006-03-31
Hawaii,0,2006-03-31
Idaho,100,2006-03-31
Illinois,13,2006-03-31
Indiana,0,2006-03-31
Iowa,0,2006-03-31
Kansas,14,2006-03-31
Kentucky,21,2006-03-31
Louisiana,15,2006-03-31
Maine,0,2006-03-31
Maryland,25,2006-03-31
Massachusetts,7,2006-03-31
Michigan,22,2006-03-31
Minnesota,6,2006-03-31
Mississippi,35,2006-03-31
Missouri,0,2006-03-31
Montana,0,2006-03-31
Nebraska,0,2006-03-31
Nevada,0,2006-03-31
New Hampshire,0,2006-03-31
New Jersey,15,2006-03-31
New Mexico,0,2006-03-31
New York,14,2006-03-31
North Carolina,10,2006-03-31
North Dakota,0,2006-03-31
Ohio,15,2006-03-31
Oklahoma,31,2006-03-31
Oregon,16,2006-03-31
Pennsylvania,14,2006-03-31
Rhode Island,25,2006-03-31
South Carolina,0,2006-03-31
South Dakota,0,2006-03-31
Tennessee,0,2006-03-31
Texas,11,2006-03-31
Utah,29,2006-03-31
Vermont,40,2006-03-31
Virginia,15,2006-03-31
Washington,0,2006-03-31
West Virginia,0,2006-03-31
Wisconsin,6,2006-03-31
Wyoming,0,2006-03-31
Alabama,18,2006-04-30
Alaska,0,2006-04-30
Arizona,36,2006-04-30
Arkansas,0,2006-04-30
California,16,2006-04-30
Colorado,15,2006-04-30
Connecticut,11,2006-04-30
Delaware,0,2006-04-30
District of Columbia,17,2006-04-30
Florida,20,2006-04-30
Georgia,25,2006-04-30
Hawaii,0,2006-04-30
Idaho,42,2006-04-30
Illinois,9,2006-04-30
Indiana,11,2006-04-30
Iowa,0,2006-04-30
Kansas,36,2006-04-30
Kentucky,43,2006-04-30
Louisiana,0,2006-04-30
Maine,0,2006-04-30
Maryland,22,2006-04-30
Massachusetts,29,2006-04-30
Michigan,16,2006-04-30
Minnesota,30,2006-04-30
Mississippi,45,2006-04-30
Missouri,22,2006-04-30
Montana,0,2006-04-30
Nebraska,53,2006-04-30
Nevada,0,2006-04-30
New Hampshire,0,2006-04-30
New Jersey,23,2006-04-30
New Mexico,36,2006-04-30
New York,11,2006-04-30
North Carolina,17,2006-04-30
North Dakota,0,2006-04-30
Ohio,0,2006-04-30
Oklahoma,0,2006-04-30
Oregon,0,2006-04-30
Pennsylvania,22,2006-04-30
Rhode Island,0,2006-04-30
South Carolina,19,2006-04-30
South Dakota,0,2006-04-30
Tennessee,11,2006-04-30
Texas,17,2006-04-30
Utah,0,2006-04-30
Vermont,49,2006-04-30
Virginia,9,2006-04-30
Washington,5,2006-04-30
West Virginia,0,2006-04-30
Wisconsin,16,2006-04-30
Wyoming,100,2006-04-30
Alabama,17,2006-05-31
Alaska,0,2006-05-31
Arizona,13,2006-05-31
Arkansas,0,2006-05-31
California,17,2006-05-31
Colorado,7,2006-05-31
Connecticut,10,2006-05-31
Delaware,0,2006-05-31
District of Columbia,7,2006-05-31
Florida,5,2006-05-31
Georgia,15,2006-05-31
Hawaii,27,2006-05-31
Idaho,0,2006-05-31
Illinois,18,2006-05-31
Indiana,0,2006-05-31
Iowa,21,2006-05-31
Kansas,34,2006-05-31
Kentucky,0,2006-05-31
Louisiana,0,2006-05-31
Maine,0,2006-05-31
Maryland,7,2006-05-31
Massachusetts,8,2006-05-31
Michigan,31,2006-05-31
Minnesota,14,2006-05-31
Mississippi,0,2006-05-31
Missouri,13,2006-05-31
Montana,65,2006-05-31
Nebraska,0,2006-05-31
Nevada,20,2006-05-31
New Hampshire,0,2006-05-31
New Jersey,24,2006-05-31
New Mexico,0,2006-05-31
New York,14,2006-05-31
North Carolina,27,2006-05-31
North Dakota,0,2006-05-31
Ohio,4,2006-05-31
Oklahoma,0,2006-05-31
Oregon,9,2006-05-31
Pennsylvania,14,2006-05-31
Rhode Island,0,2006-05-31
South Carolina,17,2006-05-31
South Dakota,0,2006-05-31
Tennessee,10,2006-05-31
Texas,6,2006-05-31
Utah,17,2006-05-31
Vermont,0,2006-05-31
Virginia,13,2006-05-31
Washington,13,2006-05-31
West Virginia,0,2006-05-31
Wisconsin,16,2006-05-31
Wyoming,100,2006-05-31
Alabama,0,2006-06-30
Alaska,79,2006-06-30
Arizona,31,2006-06-30
Arkansas,0,2006-06-30
California,26,2006-06-30
Colorado,22,2006-06-30
Connecticut,33,2006-06-30
Delaware,100,2006-06-30
District of Columbia,0,2006-06-30
Florida,36,2006-06-30
Georgia,23,2006-06-30
Hawaii,40,2006-06-30
Idaho,62,2006-06-30
Illinois,18,2006-06-30
Indiana,19,2006-06-30
Iowa,0,2006-06-30
Kansas,0,2006-06-30
Kentucky,22,2006-06-30
Louisiana,0,2006-06-30
Maine,0,2006-06-30
Maryland,22,2006-06-30
Massachusetts,0,2006-06-30
Michigan,0,2006-06-30
Minnesota,0,2006-06-30
Mississippi,0,2006-06-30
Missouri,21,2006-06-30
Montana,0,2006-06-30
Nebraska,0,2006-06-30
Nevada,31,2006-06-30
New Hampshire,43,2006-06-30
New Jersey,27,2006-06-30
New Mexico,0,2006-06-30
New York,35,2006-06-30
North Carolina,25,2006-06-30
North Dakota,0,2006-06-30
Ohio,14,2006-06-30
Oklahoma,0,2006-06-30
Oregon,14,2006-06-30
Pennsylvania,16,2006-06-30
Rhode Island,0,2006-06-30
South Carolina,27,2006-06-30
South Dakota,0,2006-06-30
Tennessee,15,2006-06-30
Texas,22,2006-06-30
Utah,0,2006-06-30
Vermont,75,2006-06-30
Virginia,28,2006-06-30
Washington,7,2006-06-30
West Virginia,0,2006-06-30
Wisconsin,0,2006-06-30
Wyoming,0,2006-06-30
Alabama,18,2006-07-31
Alaska,0,2006-07-31
Arizona,7,2006-07-31
Arkansas,100,2006-07-31
California,13,2006-07-31
Colorado,30,2006-07-31
Connecticut,23,2006-07-31
Delaware,0,2006-07-31
District of Columbia,25,2006-07-31
Florida,24,2006-07-31
Georgia,24,2006-07-31
Hawaii,0,2006-07-31
Idaho,43,2006-07-31
Illinois,16,2006-07-31
Indiana,12,2006-07-31
Iowa,0,2006-07-31
Kansas,18,2006-07-31
Kentucky,0,2006-07-31
Louisiana,0,2006-07-31
Maine,0,2006-07-31
Maryland,23,2006-07-31
Massachusetts,9,2006-07-31
Michigan,17,2006-07-31
Minnesota,8,2006-07-31
Mississippi,0,2006-07-31
Missouri,7,2006-07-31
Montana,67,2006-07-31
Nebraska,0,2006-07-31
Nevada,0,2006-07-31
New Hampshire,0,2006-07-31
New Jersey,9,2006-07-31
New Mexico,0,2006-07-31
New York,28,2006-07-31
North Carolina,28,2006-07-31
North Dakota,0,2006-07-31
Ohio,14,2006-07-31
Oklahoma,19,2006-07-31
Oregon,20,2006-07-31
Pennsylvania,15,2006-07-31
Rhode Island,34,2006-07-31
South Carolina,0,2006-07-31
South Dakota,0,2006-07-31
Tennessee,32,2006-07-31
Texas,17,2006-07-31
Utah,18,2006-07-31
Vermont,0,2006-07-31
Virginia,24,2006-07-31
Washington,36,2006-07-31
West Virginia,0,2006-07-31
Wisconsin,34,2006-07-31
Wyoming,0,2006-07-31
