geoName,Rent,year
North Dakota,36,2005-04-30
Ohio,70,2005-04-30
Oklahoma,66,2005-04-30
Oregon,53,2005-04-30
Pennsylvania,54,2005-04-30
Rhode Island,24,2005-04-30
South Carolina,53,2005-04-30
South Dakota,0,2005-04-30
Tennessee,65,2005-04-30
Texas,62,2005-04-30
Utah,60,2005-04-30
Vermont,36,2005-04-30
Virginia,63,2005-04-30
Washington,68,2005-04-30
West Virginia,0,2005-04-30
Wisconsin,40,2005-04-30
Wyoming,0,2005-04-30
Alabama,42,2005-05-31
Alaska,56,2005-05-31
Arizona,59,2005-05-31
Arkansas,56,2005-05-31
California,65,2005-05-31
Colorado,35,2005-05-31
Connecticut,45,2005-05-31
Delaware,45,2005-05-31
District of Columbia,64,2005-05-31
Florida,64,2005-05-31
Georgia,62,2005-05-31
Hawaii,32,2005-05-31
Idaho,0,2005-05-31
Illinois,48,2005-05-31
Indiana,67,2005-05-31
Iowa,37,2005-05-31
Kansas,61,2005-05-31
Kentucky,54,2005-05-31
Louisiana,74,2005-05-31
Maine,0,2005-05-31
Maryland,58,2005-05-31
Massachusetts,40,2005-05-31
Michigan,45,2005-05-31
Minnesota,26,2005-05-31
Mississippi,66,2005-05-31
Missouri,54,2005-05-31
Montana,48,2005-05-31
Nebraska,38,2005-05-31
Nevada,50,2005-05-31
New Hampshire,50,2005-05-31
New Jersey,51,2005-05-31
New Mexico,38,2005-05-31
New York,59,2005-05-31
North Carolina,49,2005-05-31
North Dakota,100,2005-05-31
Ohio,39,2005-05-31
Oklahoma,77,2005-05-31
Oregon,39,2005-05-31
Pennsylvania,56,2005-05-31
Rhode Island,78,2005-05-31
South Carolina,84,2005-05-31
South Dakota,59,2005-05-31
Tennessee,45,2005-05-31
Texas,45,2005-05-31
Utah,63,2005-05-31
Vermont,17,2005-05-31
Virginia,62,2005-05-31
Washington,56,2005-05-31
West Virginia,22,2005-05-31
Wisconsin,37,2005-05-31
Wyoming,36,2005-05-31
Alabama,31,2005-06-30
Alaska,13,2005-06-30
Arizona,46,2005-06-30
Arkansas,30,2005-06-30
California,49,2005-06-30
Colorado,43,2005-06-30
Connecticut,46,2005-06-30
Delaware,0,2005-06-30
District of Columbia,41,2005-06-30
Florida,51,2005-06-30
Georgia,51,2005-06-30
Hawaii,37,2005-06-30
Idaho,24,2005-06-30
Illinois,36,2005-06-30
Indiana,21,2005-06-30
Iowa,22,2005-06-30
Kansas,43,2005-06-30
Kentucky,45,2005-06-30
Louisiana,48,2005-06-30
Maine,38,2005-06-30
Maryland,37,2005-06-30
Massachusetts,37,2005-06-30
Michigan,38,2005-06-30
Minnesota,36,2005-06-30
Mississippi,33,2005-06-30
Missouri,41,2005-06-30
Montana,72,2005-06-30
Nebraska,0,2005-06-30
Nevada,100,2005-06-30
New Hampshire,22,2005-06-30
New Jersey,33,2005-06-30
New Mexico,26,2005-06-30
New York,38,2005-06-30
North Carolina,35,2005-06-30
North Dakota,25,2005-06-30
Ohio,39,2005-06-30
Oklahoma,20,2005-06-30
Oregon,39,2005-06-30
Pennsylvania,24,2005-06-30
Rhode Island,65,2005-06-30
South Carolina,65,2005-06-30
South Dakota,20,2005-06-30
Tennessee,30,2005-06-30
Texas,34,2005-06-30
Utah,69,2005-06-30
Vermont,37,2005-06-30
Virginia,31,2005-06-30
Washington,43,2005-06-30
West Virginia,0,2005-06-30
Wisconsin,32,2005-06-30
Wyoming,0,2005-06-30
Alabama,17,2005-07-31
Alaska,53,2005-07-31
Arizona,70,2005-07-31
Arkansas,55,2005-07-31
California,49,2005-07-31
Colorado,47,2005-07-31
Connecticut,29,2005-07-31
Delaware,0,2005-07-31
District of Columbia,27,2005-07-31
Florida,58,2005-07-31
Georgia,49,2005-07-31
Hawaii,38,2005-07-31
Idaho,11,2005-07-31
Illinois,24,2005-07-31
Indiana,20,2005-07-31
Iowa,5,2005-07-31
Kansas,17,2005-07-31
Kentucky,30,2005-07-31
Louisiana,45,2005-07-31
Maine,62,2005-07-31
Maryland,46,2005-07-31
Massachusetts,37,2005-07-31
Michigan,34,2005-07-31
Minnesota,37,2005-07-31
Mississippi,12,2005-07-31
Missouri,25,2005-07-31
Montana,50,2005-07-31
Nebraska,20,2005-07-31
Nevada,30,2005-07-31
New Hampshire,14,2005-07-31
New Jersey,39,2005-07-31
New Mexico,43,2005-07-31
New York,42,2005-07-31
North Carolina,29,2005-07-31
North Dakota,0,2005-07-31
Ohio,24,2005-07-31
Oklahoma,38,2005-07-31
Oregon,46,2005-07-31
Pennsylvania,29,2005-07-31
Rhode Island,49,2005-07-31
South Carolina,27,2005-07-31
South Dakota,0,2005-07-31
Tennessee,41,2005-07-31
Texas,36,2005-07-31
Utah,45,2005-07-31
Vermont,12,2005-07-31
Virginia,36,2005-07-31
Washington,54,2005-07-31
West Virginia,14,2005-07-31
Wisconsin,29,2005-07-31
Wyoming,100,2005-07-31
Alabama,23,2005-08-31
Alaska,53,2005-08-31
Arizona,68,2005-08-31
Arkansas,44,2005-08-31
California,55,2005-08-31
Colorado,59,2005-08-31
Connecticut,33,2005-08-31
Delaware,41,2005-08-31
District of Columbia,39,2005-08-31
Florida,70,2005-08-31
Georgia,53,2005-08-31
Hawaii,100,2005-08-31
Idaho,42,2005-08-31
Illinois,42,2005-08-31
Indiana,32,2005-08-31
Iowa,33,2005-08-31
Kansas,35,2005-08-31
Kentucky,0,2005-08-31
Louisiana,62,2005-08-31
Maine,33,2005-08-31
Maryland,38,2005-08-31
Massachusetts,36,2005-08-31
Michigan,41,2005-08-31
Minnesota,57,2005-08-31
Mississippi,50,2005-08-31
Missouri,40,2005-08-31
Montana,61,2005-08-31
Nebraska,43,2005-08-31
Nevada,57,2005-08-31
New Hampshire,28,2005-08-31
New Jersey,58,2005-08-31
New Mexico,56,2005-08-31
New York,39,2005-08-31
North Carolina,40,2005-08-31
North Dakota,28,2005-08-31
Ohio,37,2005-08-31
Oklahoma,32,2005-08-31
Oregon,49,2005-08-31
Pennsylvania,46,2005-08-31
Rhode Island,30,2005-08-31
South Carolina,46,2005-08-31
South Dakota,76,2005-08-31
Tennessee,68,2005-08-31
Texas,50,2005-08-31
Utah,23,2005-08-31
Vermont,16,2005-08-31
Virginia,54,2005-08-31
Washington,66,2005-08-31
West Virginia,37,2005-08-31
Wisconsin,29,2005-08-31
Wyoming,0,2005-08-31
Alabama,42,2005-09-30
Alaska,18,2005-09-30
Arizona,58,2005-09-30
Arkansas,67,2005-09-30
California,61,2005-09-30
Colorado,69,2005-09-30
Connecticut,37,2005-09-30
Delaware,41,2005-09-30
District of Columbia,54,2005-09-30
Florida,100,2005-09-30
Georgia,87,2005-09-30
Hawaii,20,2005-09-30
Idaho,14,2005-09-30
Illinois,46,2005-09-30
Indiana,33,2005-09-30
Iowa,53,2005-09-30
Kansas,35,2005-09-30
Kentucky,58,2005-09-30
Louisiana,71,2005-09-30
Maine,54,2005-09-30
Maryland,53,2005-09-30
Massachusetts,42,2005-09-30
Michigan,44,2005-09-30
Minnesota,33,2005-09-30
Mississippi,15,2005-09-30
Missouri,43,2005-09-30
Montana,21,2005-09-30
Nebraska,43,2005-09-30
Nevada,74,2005-09-30
New Hampshire,27,2005-09-30
New Jersey,48,2005-09-30
New Mexico,46,2005-09-30
New York,54,2005-09-30
North Carolina,51,2005-09-30
North Dakota,28,2005-09-30
Ohio,41,2005-09-30
Oklahoma,79,2005-09-30
Oregon,52,2005-09-30
Pennsylvania,42,2005-09-30
Rhode Island,50,2005-09-30
South Carolina,71,2005-09-30
South Dakota,50,2005-09-30
Tennessee,68,2005-09-30
Texas,49,2005-09-30
Utah,41,2005-09-30
Vermont,31,2005-09-30
Virginia,55,2005-09-30
Washington,56,2005-09-30
West Virginia,19,2005-09-30
Wisconsin,56,2005-09-30
Wyoming,96,2005-09-30
Alabama,43,2005-10-31
Alaska,44,2005-10-31
Arizona,69,2005-10-31
Arkansas,27,2005-10-31
California,67,2005-10-31
Colorado,42,2005-10-31
Connecticut,51,2005-10-31
Delaware,35,2005-10-31
District of Columbia,50,2005-10-31
Florida,72,2005-10-31
Georgia,46,2005-10-31
Hawaii,25,2005-10-31
Idaho,11,2005-10-31
Illinois,60,2005-10-31
Indiana,41,2005-10-31
Iowa,22,2005-10-31
Kansas,39,2005-10-31
Kentucky,26,2005-10-31
Louisiana,54,2005-10-31
Maine,36,2005-10-31
Maryland,47,2005-10-31
Massachusetts,49,2005-10-31
Michigan,54,2005-10-31
Minnesota,36,2005-10-31
Mississippi,49,2005-10-31
Missouri,49,2005-10-31
Montana,16,2005-10-31
Nebraska,28,2005-10-31
Nevada,85,2005-10-31
New Hampshire,44,2005-10-31
New Jersey,62,2005-10-31
New Mexico,66,2005-10-31
New York,59,2005-10-31
North Carolina,73,2005-10-31
North Dakota,0,2005-10-31
Ohio,56,2005-10-31
Oklahoma,43,2005-10-31
Oregon,44,2005-10-31
Pennsylvania,46,2005-10-31
Rhode Island,48,2005-10-31
South Carolina,34,2005-10-31
South Dakota,83,2005-10-31
Tennessee,51,2005-10-31
Texas,52,2005-10-31
Utah,100,2005-10-31
Vermont,38,2005-10-31
Virginia,63,2005-10-31
Washington,48,2005-10-31
West Virginia,31,2005-10-31
Wisconsin,43,2005-10-31
Wyoming,78,2005-10-31
Alabama,51,2005-11-30
Alaska,14,2005-11-30
Arizona,63,2005-11-30
Arkansas,36,2005-11-30
California,55,2005-11-30
Colorado,33,2005-11-30
Connecticut,70,2005-11-30
Delaware,34,2005-11-30
District of Columbia,22,2005-11-30
Florida,71,2005-11-30
Georgia,55,2005-11-30
Hawaii,47,2005-11-30
Idaho,53,2005-11-30
Illinois,49,2005-11-30
Indiana,41,2005-11-30
Iowa,42,2005-11-30
Kansas,69,2005-11-30
Kentucky,33,2005-11-30
Louisiana,49,2005-11-30
Maine,59,2005-11-30
Maryland,48,2005-11-30
Massachusetts,52,2005-11-30
Michigan,40,2005-11-30
Minnesota,51,2005-11-30
Mississippi,35,2005-11-30
Missouri,35,2005-11-30
Montana,15,2005-11-30
Nebraska,46,2005-11-30
Nevada,42,2005-11-30
New Hampshire,63,2005-11-30
New Jersey,51,2005-11-30
New Mexico,55,2005-11-30
New York,60,2005-11-30
North Carolina,46,2005-11-30
North Dakota,22,2005-11-30
Ohio,54,2005-11-30
Oklahoma,45,2005-11-30
Oregon,64,2005-11-30
Pennsylvania,47,2005-11-30
Rhode Island,100,2005-11-30
South Carolina,48,2005-11-30
South Dakota,0,2005-11-30
Tennessee,58,2005-11-30
Texas,48,2005-11-30
Utah,32,2005-11-30
Vermont,24,2005-11-30
Virginia,59,2005-11-30
Washington,33,2005-11-30
West Virginia,29,2005-11-30
Wisconsin,44,2005-11-30
Wyoming,24,2005-11-30
Alabama,82,2005-12-31
Alaska,15,2005-12-31
Arizona,93,2005-12-31
Arkansas,94,2005-12-31
California,73,2005-12-31
Colorado,90,2005-12-31
Connecticut,65,2005-12-31
Delaware,78,2005-12-31
District of Columbia,45,2005-12-31
Florida,98,2005-12-31
Georgia,83,2005-12-31
Hawaii,51,2005-12-31
Idaho,23,2005-12-31
Illinois,64,2005-12-31
Indiana,66,2005-12-31
Iowa,87,2005-12-31
Kansas,81,2005-12-31
Kentucky,21,2005-12-31
Louisiana,65,2005-12-31
Maine,19,2005-12-31
Maryland,73,2005-12-31
Massachusetts,42,2005-12-31
Michigan,49,2005-12-31
Minnesota,69,2005-12-31
Mississippi,62,2005-12-31
Missouri,72,2005-12-31
Montana,67,2005-12-31
Nebraska,51,2005-12-31
Nevada,68,2005-12-31
New Hampshire,63,2005-12-31
New Jersey,79,2005-12-31
New Mexico,100,2005-12-31
New York,59,2005-12-31
North Carolina,74,2005-12-31
North Dakota,47,2005-12-31
Ohio,47,2005-12-31
Oklahoma,50,2005-12-31
Oregon,60,2005-12-31
Pennsylvania,54,2005-12-31
Rhode Island,78,2005-12-31
South Carolina,82,2005-12-31
South Dakota,65,2005-12-31
Tennessee,56,2005-12-31
Texas,67,2005-12-31
Utah,79,2005-12-31
Vermont,41,2005-12-31
Virginia,75,2005-12-31
Washington,60,2005-12-31
West Virginia,0,2005-12-31
Wisconsin,68,2005-12-31
Wyoming,54,2005-12-31
Alabama,50,2006-01-31
Alaska,28,2006-01-31
Arizona,73,2006-01-31
Arkansas,51,2006-01-31
California,74,2006-01-31
Colorado,71,2006-01-31
Connecticut,47,2006-01-31
Delaware,0,2006-01-31
District of Columbia,63,2006-01-31
Florida,80,2006-01-31
Georgia,79,2006-01-31
Hawaii,65,2006-01-31
Idaho,86,2006-01-31
Illinois,59,2006-01-31
Indiana,39,2006-01-31
Iowa,41,2006-01-31
Kansas,56,2006-01-31
Kentucky,82,2006-01-31
Louisiana,74,2006-01-31
Maine,44,2006-01-31
Maryland,89,2006-01-31
Massachusetts,58,2006-01-31
Michigan,40,2006-01-31
Minnesota,31,2006-01-31
Mississippi,11,2006-01-31
Missouri,47,2006-01-31
Montana,15,2006-01-31
Nebraska,27,2006-01-31
Nevada,88,2006-01-31
New Hampshire,44,2006-01-31
New Jersey,67,2006-01-31
New Mexico,27,2006-01-31
New York,65,2006-01-31
North Carolina,58,2006-01-31
North Dakota,42,2006-01-31
Ohio,54,2006-01-31
Oklahoma,91,2006-01-31
Oregon,43,2006-01-31
Pennsylvania,53,2006-01-31
Rhode Island,65,2006-01-31
South Carolina,54,2006-01-31
South Dakota,37,2006-01-31
Tennessee,30,2006-01-31
Texas,58,2006-01-31
Utah,100,2006-01-31
Vermont,38,2006-01-31
Virginia,59,2006-01-31
Washington,70,2006-01-31
West Virginia,56,2006-01-31
Wisconsin,64,2006-01-31
Wyoming,49,2006-01-31
Alabama,58,2006-02-28
Alaska,52,2006-02-28
Arizona,61,2006-02-28
Arkansas,27,2006-02-28
California,55,2006-02-28
Colorado,55,2006-02-28
Connecticut,54,2006-02-28
Delaware,26,2006-02-28
District of Columbia,51,2006-02-28
Florida,75,2006-02-28
Georgia,62,2006-02-28
Hawaii,69,2006-02-28
Idaho,16,2006-02-28
Illinois,53,2006-02-28
Indiana,54,2006-02-28
Iowa,23,2006-02-28
Kansas,63,2006-02-28
Kentucky,24,2006-02-28
Louisiana,62,2006-02-28
Maine,83,2006-02-28
Maryland,59,2006-02-28
Massachusetts,51,2006-02-28
Michigan,51,2006-02-28
Minnesota,44,2006-02-28
Mississippi,51,2006-02-28
Missouri,57,2006-02-28
Montana,12,2006-02-28
Nebraska,25,2006-02-28
Nevada,100,2006-02-28
New Hampshire,51,2006-02-28
New Jersey,52,2006-02-28
New Mexico,14,2006-02-28
New York,48,2006-02-28
North Carolina,59,2006-02-28
North Dakota,16,2006-02-28
Ohio,45,2006-02-28
Oklahoma,43,2006-02-28
Oregon,53,2006-02-28
Pennsylvania,57,2006-02-28
Rhode Island,41,2006-02-28
South Carolina,73,2006-02-28
South Dakota,28,2006-02-28
Tennessee,45,2006-02-28
Texas,47,2006-02-28
Utah,59,2006-02-28
Vermont,0,2006-02-28
Virginia,50,2006-02-28
Washington,60,2006-02-28
West Virginia,21,2006-02-28
Wisconsin,48,2006-02-28
Wyoming,57,2006-02-28
Alabama,42,2006-03-31
Alaska,56,2006-03-31
Arizona,100,2006-03-31
Arkansas,55,2006-03-31
California,67,2006-03-31
Colorado,74,2006-03-31
Connecticut,76,2006-03-31
Delaware,28,2006-03-31
District of Columbia,43,2006-03-31
Florida,79,2006-03-31
Georgia,50,2006-03-31
Hawaii,48,2006-03-31
Idaho,69,2006-03-31
Illinois,46,2006-03-31
Indiana,40,2006-03-31
Iowa,21,2006-03-31
Kansas,56,2006-03-31
Kentucky,16,2006-03-31
Louisiana,52,2006-03-31
Maine,41,2006-03-31
Maryland,57,2006-03-31
Massachusetts,42,2006-03-31
Michigan,33,2006-03-31
Minnesota,53,2006-03-31
Mississippi,45,2006-03-31
Missouri,60,2006-03-31
Montana,0,2006-03-31
Nebraska,65,2006-03-31
Nevada,81,2006-03-31
New Hampshire,43,2006-03-31
New Jersey,56,2006-03-31
New Mexico,79,2006-03-31
New York,55,2006-03-31
North Carolina,61,2006-03-31
North Dakota,54,2006-03-31
Ohio,43,2006-03-31
Oklahoma,64,2006-03-31
Oregon,52,2006-03-31
Pennsylvania,43,2006-03-31
Rhode Island,25,2006-03-31
South Carolina,46,2006-03-31
South Dakota,31,2006-03-31
Tennessee,49,2006-03-31
Texas,45,2006-03-31
Utah,52,2006-03-31
Vermont,30,2006-03-31
Virginia,56,2006-03-31
Washington,48,2006-03-31
West Virginia,24,2006-03-31
Wisconsin,43,2006-03-31
Wyoming,21,2006-03-31
Alabama,61,2006-04-30
Alaska,35,2006-04-30
Arizona,78,2006-04-30
Arkansas,38,2006-04-30
California,43,2006-04-30
Colorado,34,2006-04-30
Connecticut,34,2006-04-30
Delaware,48,2006-04-30
District of Columbia,45,2006-04-30
Florida,69,2006-04-30
Georgia,42,2006-04-30
Hawaii,41,2006-04-30
Idaho,100,2006-04-30
Illinois,40,2006-04-30
Indiana,42,2006-04-30
Iowa,27,2006-04-30
Kansas,45,2006-04-30
Kentucky,21,2006-04-30
Louisiana,55,2006-04-30
Maine,20,2006-04-30
Maryland,40,2006-04-30
Massachusetts,37,2006-04-30
Michigan,35,2006-04-30
Minnesota,38,2006-04-30
Mississippi,28,2006-04-30
Missouri,40,2006-04-30
Montana,53,2006-04-30
Nebraska,21,2006-04-30
Nevada,57,2006-04-30
New Hampshire,52,2006-04-30
New Jersey,32,2006-04-30
New Mexico,45,2006-04-30
New York,39,2006-04-30
North Carolina,45,2006-04-30
North Dakota,45,2006-04-30
Ohio,36,2006-04-30
Oklahoma,44,2006-04-30
Oregon,45,2006-04-30
Pennsylvania,40,2006-04-30
Rhode Island,19,2006-04-30
South Carolina,50,2006-04-30
South Dakota,47,2006-04-30
Tennessee,43,2006-04-30
Texas,40,2006-04-30
Utah,23,2006-04-30
Vermont,47,2006-04-30
Virginia,43,2006-04-30
Washington,39,2006-04-30
West Virginia,36,2006-04-30
Wisconsin,28,2006-04-30
Wyoming,31,2006-04-30
Alabama,63,2006-05-31
Alaska,33,2006-05-31
Arizona,100,2006-05-31
Arkansas,34,2006-05-31
California,61,2006-05-31
Colorado,73,2006-05-31
Connecticut,40,2006-05-31
Delaware,77,2006-05-31
District of Columbia,20,2006-05-31
Florida,85,2006-05-31
Georgia,67,2006-05-31
Hawaii,50,2006-05-31
Idaho,59,2006-05-31
Illinois,42,2006-05-31
Indiana,61,2006-05-31
Iowa,31,2006-05-31
Kansas,46,2006-05-31
Kentucky,34,2006-05-31
Louisiana,68,2006-05-31
Maine,38,2006-05-31
Maryland,59,2006-05-31
Massachusetts,37,2006-05-31
Michigan,41,2006-05-31
Minnesota,43,2006-05-31
Mississippi,98,2006-05-31
Missouri,52,2006-05-31
Montana,54,2006-05-31
Nebraska,53,2006-05-31
Nevada,71,2006-05-31
New Hampshire,33,2006-05-31
New Jersey,56,2006-05-31
New Mexico,41,2006-05-31
New York,47,2006-05-31
North Carolina,52,2006-05-31
North Dakota,19,2006-05-31
Ohio,40,2006-05-31
Oklahoma,54,2006-05-31
Oregon,36,2006-05-31
Pennsylvania,39,2006-05-31
Rhode Island,36,2006-05-31
South Carolina,69,2006-05-31
South Dakota,30,2006-05-31
Tennessee,65,2006-05-31
Texas,51,2006-05-31
Utah,60,2006-05-31
Vermont,20,2006-05-31
Virginia,53,2006-05-31
Washington,56,2006-05-31
West Virginia,23,2006-05-31
Wisconsin,36,2006-05-31
Wyoming,42,2006-05-31
Alabama,24,2006-06-30
Alaska,22,2006-06-30
Arizona,49,2006-06-30
Arkansas,32,2006-06-30
California,44,2006-06-30
Colorado,43,2006-06-30
Connecticut,30,2006-06-30
Delaware,57,2006-06-30
District of Columbia,42,2006-06-30
Florida,67,2006-06-30
Georgia,52,2006-06-30
Hawaii,42,2006-06-30
Idaho,30,2006-06-30
Illinois,34,2006-06-30
Indiana,23,2006-06-30
Iowa,16,2006-06-30
Kansas,20,2006-06-30
Kentucky,46,2006-06-30
Louisiana,43,2006-06-30
Maine,38,2006-06-30
Maryland,37,2006-06-30
Massachusetts,32,2006-06-30
Michigan,26,2006-06-30
Minnesota,29,2006-06-30
Mississippi,37,2006-06-30
Missouri,30,2006-06-30
Montana,37,2006-06-30
Nebraska,34,2006-06-30
Nevada,68,2006-06-30
New Hampshire,21,2006-06-30
New Jersey,40,2006-06-30
New Mexico,44,2006-06-30
New York,35,2006-06-30
North Carolina,43,2006-06-30
North Dakota,100,2006-06-30
Ohio,31,2006-06-30
Oklahoma,38,2006-06-30
Oregon,36,2006-06-30
Pennsylvania,28,2006-06-30
Rhode Island,32,2006-06-30
South Carolina,38,2006-06-30
South Dakota,0,2006-06-30
Tennessee,44,2006-06-30
Texas,36,2006-06-30
Utah,58,2006-06-30
Vermont,21,2006-06-30
Virginia,39,2006-06-30
Washington,46,2006-06-30
West Virginia,40,2006-06-30
Wisconsin,28,2006-06-30
Wyoming,15,2006-06-30
Alabama,63,2006-07-31
Alaska,25,2006-07-31
Arizona,100,2006-07-31
Arkansas,45,2006-07-31
California,73,2006-07-31
Colorado,71,2006-07-31
Connecticut,54,2006-07-31
Delaware,66,2006-07-31
District of Columbia,69,2006-07-31
Florida,79,2006-07-31
Georgia,85,2006-07-31
Hawaii,32,2006-07-31
Idaho,29,2006-07-31
Illinois,45,2006-07-31
Indiana,39,2006-07-31
Iowa,15,2006-07-31
Kansas,49,2006-07-31
Kentucky,53,2006-07-31
Louisiana,79,2006-07-31
Maine,63,2006-07-31
Maryland,45,2006-07-31
Massachusetts,55,2006-07-31
Michigan,52,2006-07-31
Minnesota,44,2006-07-31
Mississippi,68,2006-07-31
Missouri,64,2006-07-31
Montana,15,2006-07-31
Nebraska,54,2006-07-31
Nevada,95,2006-07-31
New Hampshire,48,2006-07-31
New Jersey,61,2006-07-31
New Mexico,94,2006-07-31
New York,59,2006-07-31
North Carolina,67,2006-07-31
North Dakota,67,2006-07-31
Ohio,66,2006-07-31
Oklahoma,52,2006-07-31
Oregon,87,2006-07-31
Pennsylvania,58,2006-07-31
Rhode Island,53,2006-07-31
South Carolina,63,2006-07-31
South Dakota,35,2006-07-31
Tennessee,50,2006-07-31
Texas,66,2006-07-31
Utah,100,2006-07-31
Vermont,59,2006-07-31
Virginia,78,2006-07-31
Washington,82,2006-07-31
West Virginia,35,2006-07-31
Wisconsin,50,2006-07-31
Wyoming,49,2006-07-31
Alabama,47,2006-08-31
